RecommendationID,ProductID,MaterialID,RankingScore,CO2ImpactIndex,CostEfficiencyIndex,MaterialSuitabilityScore,RecommendationReason,MaterialName,MaterialType,StrengthRating,WeightCapacity_KG,BiodegradabilityScore,BiodegradationTime_Months,CO2_Emissions_KG_Per_Ton,RecyclabilityPercentage,CostPerKG_USD,Durability_Months,ChemicalResistance,MoistureBarrier,OxygenBarrier,CompostableStatus,SupplierAvailability,CompatibleProducts,ScaleRating,InnovationLevel,RegulationCompliance,ProductName,ProductCategory,Weight_KG,RequiredStrength_Level,FragilityLevel,MoistureRequired,OxygenSensitivity,ShippingDistance_KM,ShelfLife_Months,PreferredBiodegradable,PreferredRecyclable,MaxBudgetPerUnit_USD,strength_gap,moisture_gap,oxygen_gap,estimated_cost_per_unit_usd,budget_gap,estimated_co2_per_unit_kg,is_strength_insufficient,is_moisture_insufficient,is_oxygen_insufficient,is_over_budget,preference_alignment
17,4,15,82.1,90.35,100.0,62.48,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Flavoured Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.0,1,0,0.18,5.0,0.0,1.0,0.034999999999999996,0.145,0.05310000000000001,0,0,0,0,0.5
18,4,1,77.82,86.08,98.23,56.33,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Flavoured Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.0,1,0,0.18,4.0,0.0,1.0,0.045000000000000005,0.13499999999999998,0.06999999999999999,0,0,0,0,0.5
19,4,40,77.47,79.75,79.65,74.14,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Flavoured Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.0,1,0,0.18,6.0,2.0,4.0,0.15000000000000002,0.02999999999999997,0.095,0,0,0,0,0.5
20,4,13,74.16,86.84,94.69,49.26,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Flavoured Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.0,1,0,0.18,4.0,-1.0,0.0,0.065,0.11499999999999999,0.067,0,1,0,0,0.5
21,5,19,83.3,98.73,84.96,70.48,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Greek Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.5,1,0,0.22,6.0,1.0,4.0,0.12,0.1,0.020000000000000004,0,0,0,0,0.5
22,5,15,82.1,90.35,100.0,62.48,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Greek Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.5,1,0,0.22,5.0,0.0,1.0,0.034999999999999996,0.185,0.05310000000000001,0,0,0,0,0.5
23,5,40,78.84,79.75,79.65,77.57,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Greek Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.5,1,0,0.22,6.0,2.0,4.0,0.15000000000000002,0.06999999999999998,0.095,0,0,0,0,0.5
24,5,1,77.94,86.08,98.23,56.63,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Greek Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.5,1,0,0.22,4.0,0.0,1.0,0.045000000000000005,0.175,0.06999999999999999,0,0,0,0,0.5
25,5,13,74.52,86.84,94.69,50.16,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Greek Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.5,1,0,0.22,4.0,-1.0,0.0,0.065,0.155,0.067,0,1,0,0,0.5
26,6,19,85.35,98.73,84.96,75.61,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Cheddar Cheese Block 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.35,5.0,2.0,3.0,0.24,0.10999999999999999,0.04000000000000001,0,0,0,0,1.0
27,6,15,82.69,90.35,100.0,63.96,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Cheddar Cheese Block 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.35,4.0,1.0,0.0,0.06999999999999999,0.27999999999999997,0.10620000000000002,0,0,0,0,1.0
28,6,40,79.21,79.75,79.65,78.47,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Cheddar Cheese Block 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.35,5.0,3.0,3.0,0.30000000000000004,0.04999999999999993,0.19,0,0,0,0,1.0
29,6,1,78.0,86.08,98.23,56.78,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Cheddar Cheese Block 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.35,3.0,1.0,0.0,0.09000000000000001,0.25999999999999995,0.13999999999999999,0,0,0,0,1.0
30,6,4,74.21,82.94,89.38,56.28,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled PET (rPET),Plastic,8.0,25.0,20.0,1000.0,824.0,70.0,0.95,36.0,8.0,9.0,8.0,No,High,"Beverages, Food, General",9.0,4.0,"EU, FDA",Cheddar Cheese Block 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.35,3.0,2.0,1.0,0.19,0.15999999999999998,0.1648,0,0,0,0,1.0
31,7,19,85.82,98.73,84.96,76.78,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Cheese Slices 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.38,5.0,2.0,3.0,0.24,0.14,0.04000000000000001,0,0,0,0,1.0
32,7,15,82.69,90.35,100.0,63.96,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Cheese Slices 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.38,4.0,1.0,0.0,0.06999999999999999,0.31,0.10620000000000002,0,0,0,0,1.0
33,7,40,79.84,79.75,79.65,80.06,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Cheese Slices 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.38,5.0,3.0,3.0,0.30000000000000004,0.07999999999999996,0.19,0,0,0,0,1.0
34,7,1,78.06,86.08,98.23,56.92,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Cheese Slices 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.38,3.0,1.0,0.0,0.09000000000000001,0.29,0.13999999999999999,0,0,0,0,1.0
35,7,4,74.54,82.94,89.38,57.11,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled PET (rPET),Plastic,8.0,25.0,20.0,1000.0,824.0,70.0,0.95,36.0,8.0,9.0,8.0,No,High,"Beverages, Food, General",9.0,4.0,"EU, FDA",Cheese Slices 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.38,3.0,2.0,1.0,0.19,0.19,0.1648,0,0,0,0,1.0
36,8,19,84.75,98.73,84.96,74.11,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Butter Brick 100g,Milk & Dairy,0.1,4,2,8,7,800,6.0,1,1,0.2,6.0,1.0,3.0,0.12,0.08000000000000002,0.020000000000000004,0,0,0,0,1.0
37,8,15,80.36,90.35,100.0,58.13,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Butter Brick 100g,Milk & Dairy,0.1,4,2,8,7,800,6.0,1,1,0.2,5.0,0.0,0.0,0.034999999999999996,0.165,0.05310000000000001,0,0,0,0,1.0
38,8,40,80.2,79.75,79.65,80.96,Meets strength requirements; Satisfies barrier needs; Cost within budget,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Butter Brick 100g,Milk & Dairy,0.1,4,2,8,7,800,6.0,1,1,0.2,6.0,2.0,3.0,0.15000000000000002,0.04999999999999999,0.095,0,0,0,0,1.0
39,8,1,76.09,86.08,98.23,52.0,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Butter Brick 100g,Milk & Dairy,0.1,4,2,8,7,800,6.0,1,1,0.2,4.0,0.0,0.0,0.045000000000000005,0.155,0.06999999999999999,0,0,0,0,1.0
40,8,13,74.12,86.84,94.69,49.17,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Butter Brick 100g,Milk & Dairy,0.1,4,2,8,7,800,6.0,1,1,0.2,4.0,-1.0,-1.0,0.065,0.135,0.067,0,1,1,0,1.0
41,9,15,84.19,90.35,100.0,67.71,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Ghee Jar 500g,Milk & Dairy,0.5,5,3,7,6,1500,12.0,1,1,0.6,4.0,1.0,1.0,0.175,0.425,0.2655,0,0,0,0,1.0
42,9,19,82.21,98.73,84.96,67.75,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Ghee Jar 500g,Milk & Dairy,0.5,5,3,7,6,1500,12.0,1,1,0.6,5.0,2.0,4.0,0.6,0.0,0.1,0,0,0,0,1.0
43,9,1,79.13,86.08,98.23,59.61,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Ghee Jar 500g,Milk & Dairy,0.5,5,3,7,6,1500,12.0,1,1,0.6,3.0,1.0,1.0,0.225,0.375,0.35,0,0,0,0,1.0
44,9,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Ghee Jar 500g,Milk & Dairy,0.5,5,3,7,6,1500,12.0,1,1,0.6,5.0,3.0,4.0,0.75,-0.15000000000000002,0.475,0,0,0,1,1.0
45,9,4,72.99,82.94,89.38,53.23,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled PET (rPET),Plastic,8.0,25.0,20.0,1000.0,824.0,70.0,0.95,36.0,8.0,9.0,8.0,No,High,"Beverages, Food, General",9.0,4.0,"EU, FDA",Ghee Jar 500g,Milk & Dairy,0.5,5,3,7,6,1500,12.0,1,1,0.6,3.0,2.0,2.0,0.475,0.125,0.412,0,0,0,0,1.0
46,10,15,80.6,90.35,100.0,58.73,Meets strength requirements; Cost within budget; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Flavoured Milk 200ml,Milk & Dairy,0.2,4,2,8,7,600,3.0,1,0,0.25,5.0,0.0,0.0,0.06999999999999999,0.18,0.10620000000000002,0,0,0,0,0.5
47,10,19,79.42,98.73,84.96,60.78,Meets strength requirements; Satisfies barrier needs; Cost within budget,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Flavoured Milk 200ml,Milk & Dairy,0.2,4,2,8,7,600,3.0,1,0,0.25,6.0,1.0,3.0,0.24,0.010000000000000009,0.04000000000000001,0,0,0,0,0.5
48,10,1,75.99,86.08,98.23,51.74,Meets strength requirements; Cost within budget; Biodegradable option,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Flavoured Milk 200ml,Milk & Dairy,0.2,4,2,8,7,600,3.0,1,0,0.25,4.0,0.0,0.0,0.09000000000000001,0.15999999999999998,0.13999999999999999,0,0,0,0,0.5
49,10,40,75.82,79.75,79.65,70.0,Meets strength requirements; Satisfies barrier needs; Low carbon footprint,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Flavoured Milk 200ml,Milk & Dairy,0.2,4,2,8,7,600,3.0,1,0,0.25,6.0,2.0,3.0,0.30000000000000004,-0.050000000000000044,0.19,0,0,0,1,0.5
50,10,13,73.15,86.84,94.69,46.74,Meets strength requirements; Cost within budget; Biodegradable option,FSC-Certified Paperboard,Paper/Cardboard,8.0,45.0,85.0,4.0,670.0,88.0,0.65,20.0,7.0,7.0,6.0,Home/Industrial,High,"General, Electronics, Food",9.0,4.0,"EU, FDA",Flavoured Milk 200ml,Milk & Dairy,0.2,4,2,8,7,600,3.0,1,0,0.25,4.0,-1.0,-1.0,0.13,0.12,0.134,0,1,1,0,0.5
51,11,19,83.73,98.73,84.96,71.56,Meets strength requirements; Satisfies barrier needs; High recyclability,Recycled Glass,Glass,10.0,100.0,5.0,1000.0,200.0,95.0,1.2,60.0,10.0,9.0,10.0,No,Medium,"Beverages, Spirits, Specialty",7.0,2.0,"EU, FDA",Whole Wheat Flour 5kg,Grains & Staples,5.0,7,1,3,3,600,12.0,1,1,0.4,3.0,6.0,7.0,6.0,-5.6,1.0,0,0,0,1,1.0
52,11,15,79.83,90.35,100.0,56.82,Meets strength requirements; Satisfies barrier needs; Biodegradable option,Corrugated Cardboard (Virgin),Paper/Cardboard,9.0,55.0,75.0,12.0,531.0,88.0,0.35,36.0,8.0,8.0,7.0,Industrial,High,"General, Heavy, Industrial",10.0,2.0,"EU, FDA",Whole Wheat Flour 5kg,Grains & Staples,5.0,7,1,3,3,600,12.0,1,1,0.4,2.0,5.0,4.0,1.75,-1.35,2.6550000000000002,0,0,0,1,1.0
53,11,40,77.78,79.75,79.65,74.9,Meets strength requirements; Satisfies barrier needs; High recyclability,Refillable Glass (Thickwall),Glass,10.0,120.0,5.0,1200.0,950.0,98.0,1.5,120.0,10.0,10.0,10.0,No,Medium,"Beverages, Cosmetics, Premium",6.0,3.0,"EU, FDA",Whole Wheat Flour 5kg,Grains & Staples,5.0,7,1,3,3,600,12.0,1,1,0.4,3.0,7.0,7.0,7.5,-7.1,4.75,0,0,0,1,1.0
54,11,1,74.38,86.08,98.23,47.73,Satisfies barrier needs; Biodegradable option; High recyclability,Recycled Cardboard (rCardboard),Paper/Cardboard,8.0,50.0,90.0,3.0,700.0,85.0,0.45,24.0,7.0,8.0,7.0,Industrial,High,"General, Electronics, Food, Cosmetics",10.0,3.0,"EU, FDA",Whole Wheat Flour 5kg,Grains & Staples,5.0,7,1,3,3,600,12.0,1,1,0.4,1.0,5.0,4.0,2.25,-1.85,3.5,0,0,0,1,1.0
