Material,Product_Name,Shape,Product_Quantity,No_of_Units,Countries_Tags,Cost_Per_Unit_USD,Strength_MPa,Biodegradability,CO2_Emission,Recyclability,Moisture_Barrier,Sustainability_Score,Material_Suitability_Score,Cost_Efficiency_Index,AI_Recommendation,Z_Sustainability_Index,Predicted_Cost,Predicted_CO2,AI_Final_Recommendation,True_Label
Bioplastic (PLA),Potato Chips,Bag,1000,1,en:uk,0.43,56.0,81.4,1.99,40.2,8,38.650000000000006,100,1.61,Avoid,-0.1888411595646583,0.4339500000000007,1.991000000000003,Not Recommended,Not Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,250,1,en:india,0.08,66.7,2.9,4.01,24.2,10,0.0,100,6.25,Avoid,-0.5851188310129889,0.08025000000000006,5.0932499999999985,Not Recommended,Not Recommended
Glass,Frozen Peas,Pouch,1200,12,en:usa,0.23,82.6,0.0,2.08,99.1,10,19.42,100,2.6,Avoid,-0.1358933921625156,0.23059999999999953,2.132199999999999,Not Recommended,Not Recommended
Virgin Plastic (PP),Biscuits,Box,6000,6,en:japan,0.04,62.5,2.9,4.29,27.8,10,0.0,100,8.877500000000001,Avoid,-0.3505261470374597,0.039549999999999946,4.91215,Not Recommended,Not Recommended
Bamboo Fiber,Tomato Sauce,Jar,3000,12,en:japan,0.39,45.7,97.8,1.07,43.8,6,48.53,100,1.26,Good Alternative,-0.12316558161084731,0.39250000000000035,0.9736499999999972,Not Recommended,Not Recommended
Bamboo Fiber,Frozen Peas,Pouch,100,1,en:germany,0.38,51.2,95.4,1.1,49.4,8,50.540000000000006,100,1.98,Good Alternative,0.05085121532829442,0.37990000000000035,1.0124499999999974,Recommended,Recommended
Aluminum Foil/Can,Biscuits,Box,100,1,en:france,0.2,41.6,0.0,8.875,95.8,10,0.0,100,2.5,Avoid,-0.17648653657308394,0.20000000000000018,8.868,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,6000,12,en:india,0.35,40.1,95.7,0.55,31.2,7,48.77,100,2.13,Good Alternative,-0.15947840288110343,0.3503000000000005,0.6709999999999993,Not Recommended,Not Recommended
Glass,Soda Can,Can,250,1,en:france,0.34,97.7,0.0,1.7,98.5,10,21.200000000000003,100,1.78,Avoid,-0.20386516025354384,0.33755000000000135,1.901749999999995,Not Recommended,Not Recommended
Mushroom Mycelium,Soda Can,Can,1000,1,en:germany,0.56,16.6,100.0,0.19,100.0,6,65.05,100,1.03,Good Alternative,0.4408733319128133,0.5552500000000006,0.21585,Recommended,Recommended
Bamboo Fiber,Potato Chips,Bag,500,1,en:india,0.3,50.0,98.6,0.97,42.3,7,50.05,100,2.5,Good Alternative,0.004384680049657572,0.2996499999999989,0.9852999999999998,Recommended,Recommended
Bioplastic (PLA),Soda Can,Can,1000,1,en:india,0.44,50.0,84.3,2.34,56.7,9,42.36,100,1.62,Good Alternative,0.04390467677053644,0.4398999999999994,2.1961499999999936,Recommended,Recommended
Mushroom Mycelium,Potato Chips,Bag,1500,6,en:germany,0.77,15.3,100.0,0.36,100.0,5,63.2,100,1.06,Good Alternative,0.4011129805578899,0.7695000000000007,0.2609499999999999,Recommended,Recommended
Bamboo Fiber,Sandwich,Wrapper,250,1,en:france,0.32,55.4,99.2,0.61,34.6,7,50.55000000000001,100,2.35,Good Alternative,-0.0789083448172714,0.3193000000000003,0.8546000000000008,Not Recommended,Not Recommended
Bamboo Fiber,Yogurt,Cup,250,1,en:uk,0.43,53.8,97.4,0.63,48.0,8,53.41000000000001,100,1.78,Good Alternative,0.038812451445742836,0.4236000000000014,0.7132999999999987,Recommended,Recommended
Glass,Orange Juice,Bottle,500,1,en:india,0.32,85.8,0.0,2.72,95.2,10,15.44,100,1.8,Avoid,-0.23539023445757917,0.3218000000000002,2.57530000000001,Not Recommended,Not Recommended
Recycled Cardboard,Biscuits,Box,1000,1,en:germany,0.14,18.4,91.6,0.97,91.8,5,55.15,100,5.54,Good Alternative,0.5857851963786882,0.14000000000000035,1.04405,Highly Recommended,Recommended
Aluminum Foil/Can,Orange Juice,Bottle,100,1,en:japan,0.14,36.4,0.0,8.875,93.9,10,0.0,100,3.57,Avoid,-0.1146505458839434,0.14000000000000037,8.681275,Not Recommended,Not Recommended
Bioplastic (PLA),Frozen Peas,Pouch,600,6,en:germany,0.51,70.5,92.7,2.08,58.4,9,47.36000000000001,100,1.44,Good Alternative,0.11909990848687488,0.5100000000000011,2.0311999999999983,Recommended,Recommended
Virgin Plastic (PP),Biscuits,Box,100,1,en:france,0.03,87.3,1.8,4.44,12.4,10,0.0,100,8.877500000000001,Avoid,-0.5140956788598203,0.0354,4.428100000000014,Not Recommended,Not Recommended
Virgin Plastic (PP),Soda Can,Can,1500,6,en:india,0.06,70.2,1.8,3.79,15.3,10,0.0,100,8.33,Avoid,-0.5264367443918159,0.060000000000000046,4.048449999999996,Not Recommended,Not Recommended
Bioplastic (PLA),Sandwich,Wrapper,1500,6,en:usa,0.33,69.7,82.4,2.24,49.0,9,40.56,100,2.13,Good Alternative,-0.010876633270064183,0.33494999999999997,1.854349999999998,Not Recommended,Not Recommended
Bioplastic (PLA),Frozen Peas,Pouch,500,1,en:germany,0.53,63.2,92.2,1.69,52.0,9,47.83,100,1.39,Good Alternative,0.04697838038855689,0.5283000000000005,1.7869999999999988,Recommended,Recommended
Virgin Plastic (PP),Sandwich,Wrapper,1200,12,en:germany,0.03,86.5,3.4,4.19,28.6,10,0.0,100,8.877500000000001,Avoid,-0.33824478386924633,0.029199999999999938,4.565349999999998,Not Recommended,Not Recommended
Glass,Potato Chips,Bag,1500,6,en:uk,0.33,97.0,0.0,2.84,86.7,10,13.14,100,1.71,Avoid,-0.32728509424183927,0.33409999999999945,2.583399999999993,Not Recommended,Not Recommended
Virgin Plastic (PP),Orange Juice,Bottle,3000,12,en:uk,0.04,65.1,1.4,4.83,19.9,10,0.0,100,8.877500000000001,Avoid,-0.4424309352728622,0.03890000000000001,4.875600000000005,Not Recommended,Not Recommended
Mushroom Mycelium,Tomato Sauce,Jar,1000,1,en:japan,0.68,15.3,100.0,0.25,100.0,6,64.75,100,0.84,Good Alternative,0.42651555408580266,0.6812000000000009,0.2944000000000001,Recommended,Recommended
Recycled Cardboard,Soda Can,Can,250,1,en:france,0.13,19.7,99.2,1.4,88.2,3,53.32000000000001,100,3.2,Technical Failure (Not Suitable),0.3538058802410573,0.1299999999999998,1.2972500000000033,Recommended,Recommended
Recycled Cardboard,Orange Juice,Bottle,1000,1,en:japan,0.11,26.5,94.7,1.34,86.8,5,53.54,100,3.8,Technical Failure (Not Suitable),0.430732710143538,0.11749999999999976,1.2446500000000011,Recommended,Recommended
Glass,Soda Can,Can,1200,12,en:germany,0.24,99.0,0.0,1.81,85.4,10,18.03,100,2.46,Avoid,-0.2836240024237338,0.23204999999999942,2.3774500000000005,Not Recommended,Not Recommended
Virgin Plastic (PP),Yogurt,Cup,600,6,en:usa,0.04,64.3,1.1,4.46,10.7,10,0.0,100,8.877500000000001,Avoid,-0.5370959882523811,0.04074999999999998,4.433100000000007,Not Recommended,Not Recommended
Mushroom Mycelium,Tomato Sauce,Jar,1200,12,en:india,0.54,10.5,100.0,0.14,100.0,6,65.3,100,1.07,Good Alternative,0.4438960219816577,0.5378000000000018,0.17440000000000022,Recommended,Recommended
Recycled Cardboard,Biscuits,Box,3000,12,en:germany,0.09,20.8,98.4,1.27,99.2,4,56.85000000000001,100,6.49,Good Alternative,0.7477348499525122,0.09434999999999985,1.2544000000000022,Highly Recommended,Recommended
Aluminum Foil/Can,Sandwich,Wrapper,100,1,en:germany,0.2,37.1,0.0,8.875,97.0,10,0.0,100,2.5,Avoid,-0.16447329321364484,0.19995000000000016,8.83635,Not Recommended,Not Recommended
Aluminum Foil/Can,Yogurt,Cup,1000,1,en:uk,0.21,36.6,0.0,8.875,96.5,10,0.0,100,2.38,Avoid,-0.1785468814866108,0.21000000000000069,8.863299999999999,Not Recommended,Not Recommended
Glass,Frozen Peas,Pouch,250,1,en:germany,0.31,99.7,0.0,1.9,81.1,10,16.72,100,1.88,Avoid,-0.37050046379330015,0.30880000000000046,2.0205499999999947,Not Recommended,Not Recommended
Glass,Sandwich,Wrapper,600,6,en:france,0.23,96.6,0.0,2.89,85.3,10,12.609999999999998,100,2.45,Avoid,-0.28538077855423155,0.23184999999999942,2.6462499999999936,Not Recommended,Not Recommended
Glass,Frozen Peas,Pouch,250,1,en:india,0.39,98.6,0.0,2.86,98.5,10,15.400000000000004,100,1.48,Avoid,-0.22653533576987633,0.39160000000000056,2.6837000000000057,Not Recommended,Not Recommended
Aluminum Foil/Can,Frozen Peas,Pouch,3000,6,en:germany,0.12,33.9,0.0,8.61,94.0,10,0.0,100,4.17,Avoid,-0.06830909123799193,0.1200000000000001,8.661324999999975,Not Recommended,Not Recommended
Aluminum Foil/Can,Frozen Peas,Pouch,1000,1,en:france,0.14,21.5,0.0,8.875,97.3,10,0.0,100,3.57,Avoid,-0.08061302303219935,0.13990000000000039,8.769100000000003,Not Recommended,Not Recommended
Recycled Cardboard,Potato Chips,Bag,3000,6,en:uk,0.09,30.5,99.5,0.87,83.5,3,55.15,100,8.62,Good Alternative,0.7188920353021462,0.08289999999999996,0.9846000000000017,Highly Recommended,Recommended
Aluminum Foil/Can,Biscuits,Box,500,1,en:germany,0.18,40.7,0.0,8.24,99.0,10,0.0,100,2.78,Avoid,-0.12329239046600272,0.1799999999999998,8.448925000000004,Not Recommended,Not Recommended
Recycled Cardboard,Soda Can,Can,250,1,en:uk,0.05,34.9,93.1,0.86,95.9,4,56.120000000000005,100,8.61,Technical Failure (Not Suitable),0.8296121411864458,0.062200000000000095,1.1411000000000002,Highly Recommended,Recommended
Bamboo Fiber,Sandwich,Wrapper,100,1,en:germany,0.41,40.7,98.1,0.99,30.6,6,46.41,100,1.79,Good Alternative,-0.21269709459533778,0.4118999999999992,0.908900000000001,Not Recommended,Not Recommended
Bioplastic (PLA),Tomato Sauce,Jar,3000,12,en:india,0.43,72.9,89.1,2.02,46.7,8,42.88,100,1.66,Good Alternative,-0.054194034481397556,0.4318000000000009,2.063949999999998,Not Recommended,Not Recommended
Bamboo Fiber,Soda Can,Can,1500,6,en:uk,0.4,48.8,98.4,0.87,46.3,6,50.27,100,1.25,Good Alternative,-0.09376662268158875,0.3992500000000005,0.8458500000000015,Not Recommended,Not Recommended
Bioplastic (PLA),Tomato Sauce,Jar,6000,12,en:japan,0.47,56.8,90.8,1.68,50.2,9,46.96,100,1.56,Good Alternative,0.029841852208609042,0.46679999999999894,1.803200000000004,Recommended,Recommended
Bioplastic (PLA),Orange Juice,Bottle,250,1,en:india,0.44,71.2,90.7,1.76,51.2,9,46.72,100,1.67,Good Alternative,0.04731077917841275,0.4376999999999997,1.8463999999999974,Recommended,Recommended
Aluminum Foil/Can,Sandwich,Wrapper,6000,12,en:usa,0.2,21.6,0.0,8.59,95.1,10,0.0,100,1.5,Avoid,-0.25906151358719837,0.20060000000000022,8.635674999999983,Not Recommended,Not Recommended
Aluminum Foil/Can,Soda Can,Can,1000,1,en:japan,0.23,35.1,0.0,8.875,91.5,10,0.0,100,2.17,Avoid,-0.24447118501237314,0.22999999999999932,8.769025,Not Recommended,Not Recommended
Mushroom Mycelium,Sandwich,Wrapper,250,1,en:usa,0.64,15.4,100.0,0.35,100.0,6,64.25,100,1.28,Good Alternative,0.4597651448430904,0.6399000000000006,0.3066000000000006,Recommended,Recommended
Bamboo Fiber,Sandwich,Wrapper,6000,12,en:uk,0.4,52.6,98.8,0.74,38.3,6,49.48,100,1.87,Good Alternative,-0.12358518826789262,0.3998000000000003,0.7638499999999994,Not Recommended,Not Recommended
Aluminum Foil/Can,Orange Juice,Bottle,7125,12,en:france,0.14,42.8,0.0,8.875,91.2,10,0.0,100,3.57,Avoid,-0.14168034344268138,0.13995000000000035,8.821324999999996,Not Recommended,Not Recommended
Virgin Plastic (PP),Frozen Peas,Pouch,6000,6,en:india,0.04,81.9,3.8,3.9,28.8,10,0.0,100,8.877500000000001,Avoid,-0.3328245492331367,0.03554999999999995,5.0733999999999995,Not Recommended,Not Recommended
Aluminum Foil/Can,Orange Juice,Bottle,3000,12,en:uk,0.22,22.1,0.0,8.875,90.1,10,0.0,100,1.36,Avoid,-0.3196961094924831,0.22009999999999938,8.758200000000002,Not Recommended,Not Recommended
Glass,Soda Can,Can,1200,12,en:uk,0.39,92.0,0.0,2.93,98.1,10,14.97,100,1.47,Avoid,-0.2312954227402338,0.3960000000000006,2.4915999999999996,Not Recommended,Not Recommended
Bamboo Fiber,Frozen Peas,Pouch,1200,12,en:india,0.27,55.4,97.4,1.16,31.4,6,45.44000000000001,100,2.69,Good Alternative,-0.1426592871067364,0.2737000000000009,1.0583499999999983,Not Recommended,Not Recommended
