Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_pct,CO2_Emission_g,Recyclability_pct,Cost_per_kg_INR,Typical_Product_Category,extreme_outlier,CO2_Impact_Index,Biodeg_Index,Recycl_Index,Cost_per_Strength,Cost_Strength_Norm,Cost_Efficiency_Index,Material_Suitability_Score
Cellulose Film,18.45,16.43,80,58,75,71.01,Food,FALSE,0.220833333,0.72972973,0.75,3.848780279,0.219594592,0.780405408,0.758811937
Cellulose Film,36.52,13.83,76,93,76,79.92,Food,FALSE,0.366666667,0.675675676,0.76,2.188389863,0.217850412,0.782149588,0.708573433
PLA-coated Paper,42.74,6.58,79,146,7,34.98,Food,FALSE,0.5875,0.716216216,0.07,0.818437042,0.216411325,0.783588675,0.527887034
Kraft Paper,35.66,12.33,74,35,55,54.76,Food,FALSE,0.125,0.648648649,0.55,1.53561409,0.217164694,0.782835306,0.719053421
Paperboard,62.24,3.05,85,131,82,70.09,Food,FALSE,0.525,0.797297297,0.82,1.126124661,0.21673454,0.78326546,0.717755554
Recycled Paper,35.23,9.71,50,133,100,104.19,Food,FALSE,0.533333333,0.324324324,1,2.957422567,0.218658253,0.781341747,0.609299401
Cotton Padding,34.3,2.84,75,106,61,51.67,Food,FALSE,0.420833333,0.662162162,0.61,1.50641395,0.21713402,0.78286598,0.66115681
Hemp Fiber,52.37,10.15,65,89,71,54.57,Food,FALSE,0.35,0.527027027,0.71,1.042008764,0.216646179,0.783353821,0.658446563
Jute Fiber,77.09,0.18,64,126,69,74.92,Food,FALSE,0.504166667,0.513513514,0.69,0.971851071,0.216572481,0.783427519,0.611869267
Corrugated Cardboard,63.37,12.91,67,94,54,89.18,Food,FALSE,0.370833333,0.554054054,0.54,1.407290494,0.217029895,0.782970105,0.627250409
Recycled Paper,40.18,10.41,75,110,85,67.74,Food,FALSE,0.4375,0.662162162,0.85,1.685913348,0.217322578,0.782677422,0.704943004
Paperboard,34.3,8.46,56,59,79,54.99,Food,FALSE,0.225,0.405405405,0.79,1.60320695,0.217235698,0.782764302,0.669062697
Cornstarch Polymer,4.75,7.94,99,65,97,106.19,Food,FALSE,0.25,0.986486486,0.97,22.35578477,0.239035541,0.760964459,0.867687061
Jute Fiber,67.25,14.76,55,162,55,99.96,Food,FALSE,0.654166667,0.391891892,0.55,1.48639403,0.21711299,0.78288701,0.509747653
Wheat Straw,27.63,3.77,99,61,88,46.66,Food,FALSE,0.233333333,0.986486486,0.88,1.688744058,0.217325551,0.782674449,0.859281225
Mushroom Packaging,30.32,8.88,85,147,95,57.4,Food,FALSE,0.591666667,0.797297297,0.95,1.893139779,0.217540262,0.782459738,0.726887457
PLA Bioplastic,21.78,12.8,73,92,76,75.99,Food,FALSE,0.3625,0.635135135,0.76,3.488980556,0.219216636,0.780783364,0.697111382
Seaweed-based,28.73,11.6,81,233,100,108.35,Food,FALSE,0.95,0.743243243,1,3.771319047,0.219513222,0.780486778,0.630594667
Starch Foam,-5.84,8.39,67,82,68,50,Food,FALSE,0.320833333,0.554054054,0.68,-8.561645302,0.206557883,0.793442117,0.670368412
Recycled Paper,22.53,12.82,83,64,75,114.92,Food,FALSE,0.245833333,0.77027027,0.75,5.100754323,0.220909747,0.779090253,0.764395311
PLA Bioplastic,29.16,13.7,87,159,97,68.8,Food,FALSE,0.641666667,0.824324324,0.97,2.359396353,0.218030048,0.781969952,0.726373119
Wheat Straw,45.7,11.96,94,87,92,78.36,Food,FALSE,0.341666667,0.918918919,0.92,1.714660794,0.217352776,0.782647224,0.819920815
Recycled Paper,37.91,17.99,90,88,59,19.61,Food,FALSE,0.345833333,0.864864865,0.59,0.517277749,0.216094968,0.783905032,0.736977384
HDPE (Recycled),51.38,11.19,86,109,57,62.01,Food,FALSE,0.433333333,0.810810811,0.57,1.206889817,0.216819381,0.783180619,0.694705065
Bamboo Fiber,45.39,13.89,80,80,42,51.96,Food,FALSE,0.3125,0.72972973,0.42,1.144745513,0.2167541,0.7832459,0.670605394
Starch Foam,35.08,6.99,68,5,70,28.84,Food,FALSE,0,0.567567568,0.7,0.822120843,0.216415195,0.783584805,0.756166472
PLA Bioplastic,34.3,17.22,100,202,80,74.37,Food,FALSE,0.820833333,1,0.8,2.168221511,0.217829225,0.782170775,0.70033436
Recycled Paper,38.31,17.72,93,91,64,108.73,Food,FALSE,0.358333333,0.905405405,0.64,2.838162286,0.218532974,0.781467026,0.755405045
Kraft Paper,56.73,9.51,72,87,71,43.01,Food,FALSE,0.341666667,0.621621622,0.71,0.75815264,0.216347998,0.783652002,0.68898282
PLA Bioplastic,32.19,21.42,90,113,81,100.32,Food,FALSE,0.45,0.864864865,0.81,3.116495709,0.218825354,0.781174646,0.754253121
Bamboo Fiber,61.51,12.09,83,62,90,26.18,Food,FALSE,0.2375,0.77027027,0.9,0.425621843,0.215998687,0.784001313,0.797706409
Seaweed-based,5.16,7.54,81,109,50,57.63,Food,FALSE,0.433333333,0.743243243,0.5,11.16860249,0.227283805,0.772716195,0.657818688
HDPE (Recycled),67.35,5.12,60,84,100,63.75,Food,FALSE,0.329166667,0.459459459,1,0.94654787,0.216545901,0.783454099,0.701409696
Starch Foam,36.29,10.17,44,93,17,75.53,Food,FALSE,0.366666667,0.243243243,0.17,2.081289554,0.217737906,0.782262094,0.46087183
HDPE (Recycled),40.38,17,85,119,100,74.46,Food,FALSE,0.475,0.797297297,1,1.843982124,0.217488624,0.782511376,0.766067033
Seaweed-based,30.51,16.36,71,101,94,56.58,Food,FALSE,0.4,0.608108108,0.94,1.854473882,0.217499645,0.782500355,0.716057521
Bamboo Fiber,73.69,7.77,64,119,45,89.97,Food,FALSE,0.475,0.513513514,0.45,1.220925482,0.216834125,0.783165875,0.571095523
Palm Leaf,24.33,5.43,89,114,68,32.85,Food,FALSE,0.454166667,0.851351351,0.68,1.350184901,0.216969907,0.783030093,0.723621262
Bagasse (Sugarcane),34.3,4.27,100,177,15,50.57,Food,FALSE,0.716666667,1,0.15,1.47434398,0.217100332,0.782899668,0.59655825
Mushroom Packaging,14.75,12.44,88,51,100,54.66,Food,FALSE,0.191666667,0.837837838,1,3.705762461,0.219444357,0.780555643,0.848573595
Bamboo Fiber,50.41,4.29,76,105,57,0.45,Food,FALSE,0.416666667,0.675675676,0.57,0.0089268,0.215560963,0.784439037,0.658645795
Recycled Paper,43.76,13.22,82,78,67,32.89,Food,FALSE,0.304166667,0.756756757,0.67,0.751599617,0.216341115,0.783658885,0.730900082
Recycled Paper,46.25,7.8,30,138,44,55.75,Food,FALSE,0.554166667,0.054054054,0.44,1.205405379,0.216817821,0.783182179,0.411470094
Jute Fiber,51.93,13.7,68,18,79,55.02,Food,FALSE,0.054166667,0.567567568,0.79,1.059503157,0.216664556,0.783335444,0.760562465
Starch Foam,11.66,17.25,75,51,38,81.47,Food,FALSE,0.191666667,0.662162162,0.38,6.987134907,0.222891322,0.777108678,0.671009151
PLA-coated Paper,40.18,9.71,92,79,100,123.32,Food,FALSE,0.308333333,0.891891892,1,3.069188575,0.218775659,0.781224341,0.835790319
HDPE (Recycled),56.31,13.34,64,102,37,84.6,Food,FALSE,0.404166667,0.513513514,0.37,1.502397416,0.217129801,0.782870199,0.572729937
Cotton Padding,34.4,11.13,91,61,69,96.39,Food,FALSE,0.233333333,0.878378378,0.69,2.802034802,0.218495024,0.781504976,0.788556424
Jute Fiber,47.27,14.98,82,21,100,110.48,Food,FALSE,0.066666667,0.756756757,1,2.337211713,0.218006744,0.781993256,0.855858674
HDPE (Recycled),74.16,2.05,71,61,74,31.05,Food,FALSE,0.233333333,0.608108108,0.74,0.418689315,0.215991404,0.784008596,0.718101248
Jute Fiber,40.09,10.57,88,136,65,55.21,Food,FALSE,0.545833333,0.837837838,0.65,1.377151375,0.216998234,0.783001766,0.690643459
Glassine Paper,51.51,20.56,67,79,68,92.64,Food,FALSE,0.308333333,0.554054054,0.68,1.798485696,0.217440831,0.782559169,0.670772675
Jute Fiber,68.29,8.68,84,27,87,8.88,Food,FALSE,0.091666667,0.783783784,0.87,0.130033678,0.215688182,0.784311818,0.832296423
Mushroom Packaging,18.25,9.71,72,88,96,55.05,Food,FALSE,0.345833333,0.621621622,0.96,3.016438191,0.218720247,0.781279753,0.737348091
Cellulose Film,27.28,6.69,88,17,66,102.92,Food,FALSE,0.05,0.837837838,0.66,3.772727134,0.219514701,0.780485299,0.815972676
Starch Foam,14.78,4.08,92,68,76,98.89,Food,FALSE,0.2625,0.891891892,0.76,6.690797923,0.222580031,0.777419969,0.79829756
Jute Fiber,45.74,6.25,97,140,72,47.69,Food,FALSE,0.5625,0.959459459,0.72,1.042632247,0.216646834,0.783353166,0.737051129
Wheat Straw,17.43,12.1,80,39,95,80.36,Food,FALSE,0.141666667,0.72972973,0.95,4.610441503,0.22039469,0.77960531,0.81840358
Seaweed-based,34.3,14.41,54,76,99,101.93,Food,FALSE,0.295833333,0.378378378,0.99,2.97172003,0.218673272,0.781326728,0.682886862
Mushroom Packaging,17.07,7.75,76,107,74,121.96,Food,FALSE,0.425,0.675675676,0.74,7.144697883,0.223056836,0.776943164,0.688688494
Hemp Fiber,65.16,13.36,73,158,52,73.23,Food,FALSE,0.6375,0.635135135,0.52,1.12384897,0.216732149,0.783267851,0.580982503
Wheat Straw,10.97,6.23,71,110,36,84.1,Food,FALSE,0.4375,0.608108108,0.36,7.666362109,0.223604826,0.776395174,0.589156226
Mushroom Packaging,22.84,8.68,79,152,69,111.03,Food,FALSE,0.6125,0.716216216,0.69,4.861208193,0.220658112,0.779341888,0.644575337
Kraft Paper,50.18,10.7,71,164,46,71.47,Food,FALSE,0.6625,0.608108108,0.46,1.42427259,0.217047734,0.782952266,0.554545499
Jute Fiber,55.03,6.76,78,17,100,87.61,Food,FALSE,0.05,0.702702703,1,1.592040676,0.217223968,0.782776032,0.844004819
Starch Foam,34.76,4.43,58,82,69,25.02,Food,FALSE,0.320833333,0.432432432,0.69,0.719792845,0.216307703,0.783692297,0.633444471
Seaweed-based,40.51,15.89,63,150,52,55.67,Food,FALSE,0.604166667,0.5,0.52,1.374228552,0.216995164,0.783004836,0.548709542
Cellulose Film,34.67,14.5,94,90,69,121.43,Food,FALSE,0.354166667,0.918918919,0.69,3.502451586,0.219230787,0.780769213,0.770326312
Starch Foam,20.64,7.63,80,100,63,53.07,Food,FALSE,0.395833333,0.72972973,0.63,2.571220806,0.218252562,0.781747438,0.691397445
Recycled Paper,43.96,19.01,77,117,76,68.34,Food,FALSE,0.466666667,0.689189189,0.76,1.554595051,0.217184633,0.782815367,0.687793932
Bamboo Fiber,52.27,4.74,93,191,21,100.45,Food,FALSE,0.775,0.905405405,0.21,1.921752402,0.217570318,0.782429682,0.565479042
HDPE (Recycled),50.98,17.33,80,92,80,101.08,Food,FALSE,0.3625,0.72972973,0.8,1.98273829,0.217634382,0.782365618,0.733885323
Jute Fiber,65.21,10.74,60,140,34,58.74,Food,FALSE,0.5625,0.459459459,0.34,0.900782075,0.216497825,0.783502175,0.511088381
Glassine Paper,68.1,8.18,100,27,71,39.1,Food,FALSE,0.091666667,1,0.71,0.574155645,0.216154716,0.783845284,0.865044654
Mushroom Packaging,-1.27,3.48,99,136,53,51.58,Food,FALSE,0.545833333,0.986486486,0.53,-40.61420521,0.172887812,0.827112188,0.72226566
Palm Leaf,18.14,9.34,70,100,89,45.12,Food,FALSE,0.395833333,0.594594595,0.89,2.487320701,0.218164428,0.781835572,0.702878938
Jute Fiber,34.3,9.02,84,136,62,83.91,Food,FALSE,0.545833333,0.783783784,0.62,2.446355614,0.218121395,0.781878605,0.668146453
