Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Bamboo Fiber,46.6,9.6,96.1,0.78,45.9,6,Highly Recommended,219.2
Virgin Plastic (PP),66.3,8.0,2.0,3.63,25.0,10,Avoid,262.6
Bamboo Fiber,41.0,4.9,97.0,1.14,35.2,6,Highly Recommended,161.0
Recycled Cardboard,26.6,9.6,97.0,1.2,92.4,5,Highly Recommended,174.2
Edible Seaweed Film,12.8,9.4,100.0,0.22,1.2,3,Consider as Option,134.6
Bamboo Fiber,43.8,5.5,99.5,0.76,46.0,8,Highly Recommended,182.6
Recycled Cardboard,15.5,7.9,93.4,1.4,89.0,5,Highly Recommended,135.0
Mushroom Mycelium,16.0,1.1,100.0,0.27,100.0,4,Highly Recommended,63.0
Bagasse (Sugarcane),24.5,3.8,97.0,1.08,60.4,7,Highly Recommended,122.0
Mushroom Mycelium,17.2,3.2,100.0,0.27,100.0,6,Highly Recommended,96.4
Recycled Cardboard,32.9,1.2,94.3,0.99,80.9,5,Highly Recommended,102.8
Bagasse (Sugarcane),37.7,3.9,97.3,0.97,69.8,7,Highly Recommended,149.4
Mushroom Mycelium,21.1,6.9,100.0,0.25,100.0,5,Highly Recommended,136.2
Virgin Plastic (PP),79.2,5.9,4.1,5.23,25.0,10,Avoid,267.4
Mushroom Mycelium,22.0,7.7,100.0,0.28,100.0,5,Highly Recommended,146.0
Aluminum Foil,32.6,1.6,0.0,8.67,98.7,10,Avoid,131.2
Mushroom Mycelium,13.3,6.9,100.0,0.22,100.0,6,Highly Recommended,125.6
Bamboo Fiber,56.4,8.6,95.7,0.85,33.3,8,Highly Recommended,238.8
Virgin Plastic (PP),85.6,7.6,0.5,4.43,12.2,10,Avoid,297.2
Virgin Plastic (PP),61.4,6.7,3.4,4.11,17.9,10,Avoid,239.8
Recycled Cardboard,19.6,9.8,97.9,0.84,92.8,5,Highly Recommended,162.2
Virgin Plastic (PP),69.4,0.7,1.3,3.52,18.6,10,Avoid,195.8
Bamboo Fiber,41.6,9.2,99.5,0.62,37.2,7,Highly Recommended,210.2
Bagasse (Sugarcane),32.0,3.9,95.2,1.03,66.0,5,Highly Recommended,128.0
Aluminum Foil,34.3,1.4,0.0,8.98,97.2,10,Avoid,132.6
Bioplastic (PLA),53.7,5.0,84.6,1.92,54.2,8,Highly Recommended,197.4
Recycled Cardboard,17.1,2.0,91.9,1.27,98.5,3,Highly Recommended,69.2
Mushroom Mycelium,13.4,1.3,100.0,0.25,100.0,5,Highly Recommended,64.8
Bioplastic (PLA),67.2,5.5,91.3,2.02,47.0,8,Highly Recommended,229.4
Bamboo Fiber,46.7,9.7,99.0,0.51,32.3,6,Highly Recommended,220.4
Recycled Cardboard,21.0,9.3,90.5,1.3,85.8,5,Highly Recommended,160.0
Recycled Cardboard,34.6,3.9,98.0,1.38,83.6,4,Highly Recommended,128.2
Virgin Plastic (PP),65.8,8.9,2.0,5.93,22.2,10,Avoid,270.6
Bamboo Fiber,57.6,7.4,95.8,0.83,42.3,6,Highly Recommended,219.2
Bamboo Fiber,47.4,7.6,98.5,0.57,44.7,6,Highly Recommended,200.8
Virgin Plastic (PP),67.8,4.7,0.7,4.66,25.2,10,Avoid,232.6
Edible Seaweed Film,11.8,7.0,100.0,0.5,2.1,3,Consider as Option,108.6
Edible Seaweed Film,13.8,4.2,100.0,0.33,9.4,2,Consider as Option,79.6
Bagasse (Sugarcane),40.0,1.3,97.5,1.02,61.5,7,Highly Recommended,128.0
Bagasse (Sugarcane),36.5,8.7,95.9,1.11,64.5,6,Highly Recommended,190.0
Recycled Cardboard,25.1,2.8,98.1,0.9,85.5,3,Highly Recommended,93.2
Virgin Plastic (PP),85.4,1.2,0.4,4.95,15.6,10,Avoid,232.8
Bamboo Fiber,50.0,1.1,96.6,0.81,47.3,8,Highly Recommended,151.0
Edible Seaweed Film,5.6,1.4,100.0,0.46,2.2,2,Consider as Option,35.2
Recycled Cardboard,19.3,2.4,95.7,1.1,95.9,5,Highly Recommended,87.6
Bioplastic (PLA),51.4,9.8,95.0,2.19,44.4,9,Highly Recommended,245.8
Mushroom Mycelium,11.3,4.3,100.0,0.3,100.0,4,Highly Recommended,85.6
Virgin Plastic (PP),86.6,9.3,0.1,4.12,16.6,10,Avoid,316.2
Bioplastic (PLA),60.9,1.1,88.1,2.12,41.4,8,Consider as Option,172.8
Mushroom Mycelium,14.3,4.0,100.0,0.25,100.0,5,Highly Recommended,93.6
Mushroom Mycelium,16.3,1.7,100.0,0.32,100.0,5,Highly Recommended,74.6
Aluminum Foil,34.4,0.7,0.0,11.43,90.1,10,Avoid,125.8
Virgin Plastic (PP),66.9,2.2,1.0,5.04,29.9,10,Avoid,205.8
Edible Seaweed Film,7.3,10.0,100.0,0.32,0.2,4,Consider as Option,134.6
Bagasse (Sugarcane),37.0,3.7,98.3,1.1,59.1,6,Highly Recommended,141.0
Edible Seaweed Film,12.0,6.6,100.0,0.26,4.5,3,Consider as Option,105.0
Bamboo Fiber,43.1,7.0,95.4,1.01,47.9,8,Highly Recommended,196.2
Mushroom Mycelium,11.0,4.4,100.0,0.31,100.0,5,Highly Recommended,91.0
Aluminum Foil,37.7,2.7,0.0,8.66,90.7,10,Avoid,152.4
Bagasse (Sugarcane),30.3,7.4,97.6,0.99,56.9,7,Highly Recommended,169.6
Bagasse (Sugarcane),21.7,9.8,99.8,1.13,69.4,7,Highly Recommended,176.4
Edible Seaweed Film,10.9,8.7,100.0,0.35,1.5,4,Consider as Option,128.8
Edible Seaweed Film,14.5,9.3,100.0,0.37,4.4,3,Consider as Option,137.0
Bioplastic (PLA),53.9,2.4,92.9,2.29,59.6,9,Highly Recommended,176.8
Bagasse (Sugarcane),27.6,3.3,98.0,1.26,56.8,6,Highly Recommended,118.2
Recycled Cardboard,22.3,0.7,92.9,1.05,91.9,4,Highly Recommended,71.6
Edible Seaweed Film,12.4,0.9,100.0,0.4,1.9,4,Consider as Option,53.8
Edible Seaweed Film,14.7,6.5,100.0,0.37,5.5,2,Consider as Option,104.4
Recycled Cardboard,21.4,2.6,91.1,1.01,81.3,4,Highly Recommended,88.8
Edible Seaweed Film,8.4,2.0,100.0,0.47,7.8,3,Consider as Option,51.8
Bioplastic (PLA),59.4,8.8,84.3,2.25,49.3,8,Consider as Option,246.8
Aluminum Foil,24.5,9.1,0.0,9.5,94.2,10,Avoid,190.0
Bagasse (Sugarcane),36.2,1.6,98.7,1.28,64.2,5,Highly Recommended,113.4
Bamboo Fiber,50.9,3.9,96.5,0.93,47.4,6,Highly Recommended,170.8
Bagasse (Sugarcane),38.9,4.7,98.9,1.33,57.6,6,Highly Recommended,154.8
Aluminum Foil,33.3,7.9,0.0,8.77,90.0,10,Avoid,195.6
Aluminum Foil,30.7,4.2,0.0,9.69,96.4,10,Avoid,153.4
Virgin Plastic (PP),79.6,7.9,2.6,3.99,12.3,10,Avoid,288.2
Recycled Cardboard,15.1,7.0,95.7,1.05,82.7,5,Highly Recommended,125.2
Bamboo Fiber,51.2,8.7,99.9,1.16,36.4,8,Highly Recommended,229.4
Bagasse (Sugarcane),25.0,9.6,99.5,1.15,56.2,7,Highly Recommended,181.0
Aluminum Foil,23.7,1.3,0.0,10.76,91.4,10,Avoid,110.4
Mushroom Mycelium,12.2,2.7,100.0,0.39,100.0,6,Highly Recommended,81.4
Mushroom Mycelium,17.4,1.1,100.0,0.2,100.0,6,Highly Recommended,75.8
Bamboo Fiber,52.7,5.9,98.6,0.93,43.1,8,Highly Recommended,204.4
Bamboo Fiber,55.7,9.6,99.1,0.89,46.5,7,Highly Recommended,242.4
Virgin Plastic (PP),72.5,3.2,1.9,5.21,18.2,10,Avoid,227.0
Bamboo Fiber,45.1,4.7,99.3,1.03,34.0,6,Highly Recommended,167.2
Recycled Cardboard,16.4,5.1,95.9,0.91,84.3,5,Highly Recommended,108.8
Edible Seaweed Film,6.2,7.5,100.0,0.24,3.1,4,Consider as Option,107.4
Mushroom Mycelium,16.7,5.8,100.0,0.23,100.0,6,Highly Recommended,121.4
Bamboo Fiber,58.6,1.5,98.5,0.93,36.5,6,Highly Recommended,162.2
Aluminum Foil,34.0,5.0,0.0,9.17,98.1,10,Avoid,168.0
Mushroom Mycelium,17.2,0.7,100.0,0.24,100.0,5,Highly Recommended,66.4
Edible Seaweed Film,14.3,7.9,100.0,0.41,2.2,3,Consider as Option,122.6
Virgin Plastic (PP),83.4,5.0,2.1,4.87,21.8,10,Avoid,266.8
Bagasse (Sugarcane),39.0,5.0,97.2,1.3,53.9,5,Highly Recommended,153.0
Recycled Cardboard,34.4,3.6,99.3,1.13,95.7,5,Highly Recommended,129.8
Virgin Plastic (PP),66.7,5.5,0.7,5.54,14.9,10,Avoid,238.4
Recycled Cardboard,25.1,4.1,97.4,1.06,92.2,4,Highly Recommended,111.2
Mushroom Mycelium,13.2,2.9,100.0,0.29,100.0,5,Highly Recommended,80.4
Bamboo Fiber,59.3,3.8,95.5,1.06,49.6,6,Highly Recommended,186.6
Bamboo Fiber,47.2,4.3,98.4,1.02,34.5,6,Highly Recommended,167.4
Aluminum Foil,43.6,3.2,0.0,8.94,90.4,10,Avoid,169.2
Aluminum Foil,21.1,2.9,0.0,10.69,99.5,10,Avoid,121.2
Mushroom Mycelium,18.4,5.1,100.0,0.17,100.0,6,Highly Recommended,117.8
Aluminum Foil,28.0,1.7,0.0,10.8,90.3,10,Avoid,123.0
Mushroom Mycelium,19.7,5.0,100.0,0.16,100.0,6,Highly Recommended,119.4
Bagasse (Sugarcane),30.8,5.8,95.5,0.92,65.2,5,Highly Recommended,144.6
Bioplastic (PLA),59.1,4.1,81.3,2.36,59.6,9,Highly Recommended,204.2
Bamboo Fiber,58.9,2.4,99.0,0.68,34.3,7,Highly Recommended,176.8
Edible Seaweed Film,7.3,4.1,100.0,0.38,8.7,2,Consider as Option,65.6
Bamboo Fiber,47.2,6.3,98.5,0.84,32.8,6,Highly Recommended,187.4
Edible Seaweed Film,7.7,7.5,100.0,0.3,3.6,2,Consider as Option,100.4
Aluminum Foil,43.1,1.3,0.0,11.69,92.3,10,Avoid,149.2
Aluminum Foil,26.1,3.7,0.0,11.74,94.3,10,Avoid,139.2
Edible Seaweed Film,9.3,1.3,100.0,0.3,6.3,4,Consider as Option,51.6
Bagasse (Sugarcane),38.6,8.7,99.5,1.18,68.6,6,Highly Recommended,194.2
Mushroom Mycelium,13.5,2.8,100.0,0.25,100.0,4,Highly Recommended,75.0
Aluminum Foil,42.1,3.1,0.0,8.92,98.6,10,Avoid,165.2
Aluminum Foil,22.3,7.7,0.0,10.86,97.8,10,Avoid,171.6
Edible Seaweed Film,5.2,4.5,100.0,0.36,4.8,2,Consider as Option,65.4
Recycled Cardboard,25.4,6.5,99.2,1.0,81.6,5,Highly Recommended,140.8
Bagasse (Sugarcane),26.8,0.9,95.4,1.26,51.0,6,Highly Recommended,92.6
Aluminum Foil,24.5,8.4,0.0,11.34,90.9,10,Avoid,183.0
Virgin Plastic (PP),78.8,3.4,1.5,4.7,20.6,10,Avoid,241.6
Bagasse (Sugarcane),33.7,1.3,98.8,1.05,60.7,5,Highly Recommended,105.4
Virgin Plastic (PP),66.5,7.8,0.1,3.7,25.9,10,Avoid,261.0
Edible Seaweed Film,5.6,5.5,100.0,0.31,9.6,2,Consider as Option,76.2
Virgin Plastic (PP),87.0,2.2,1.8,4.15,23.0,10,Avoid,246.0
Recycled Cardboard,18.4,9.0,92.0,1.4,86.0,3,Highly Recommended,141.8
Virgin Plastic (PP),75.6,5.5,3.8,3.64,28.8,10,Avoid,256.2
Bamboo Fiber,44.8,7.6,95.4,0.86,32.3,8,Highly Recommended,205.6
Mushroom Mycelium,19.0,6.3,100.0,0.36,100.0,6,Highly Recommended,131.0
Bioplastic (PLA),61.2,2.8,92.8,2.33,53.9,9,Highly Recommended,195.4
Aluminum Foil,40.1,0.7,0.0,10.34,96.8,10,Avoid,137.2
Aluminum Foil,29.9,9.0,0.0,8.78,99.1,10,Avoid,199.8
Aluminum Foil,39.9,8.0,0.0,11.38,93.5,10,Avoid,209.8
Virgin Plastic (PP),84.0,5.5,1.2,4.15,27.4,10,Avoid,273.0
Bioplastic (PLA),70.5,3.1,84.4,1.68,56.1,9,Highly Recommended,217.0
Virgin Plastic (PP),69.0,3.8,1.2,5.71,28.2,10,Avoid,226.0
Edible Seaweed Film,14.9,6.2,100.0,0.31,9.2,4,Consider as Option,111.8
Bagasse (Sugarcane),33.5,2.7,95.8,1.37,64.2,7,Highly Recommended,129.0
Bamboo Fiber,47.0,9.1,95.3,0.81,45.0,7,Highly Recommended,220.0
Recycled Cardboard,30.3,1.6,99.0,1.25,87.0,4,Highly Recommended,96.6
Bamboo Fiber,47.2,5.2,97.6,0.96,32.2,7,Highly Recommended,181.4
Bioplastic (PLA),68.1,9.1,86.2,1.97,44.2,8,Consider as Option,267.2
Bioplastic (PLA),57.9,2.2,82.0,2.24,49.5,8,Consider as Option,177.8
Virgin Plastic (PP),74.6,7.1,2.0,5.88,11.7,10,Avoid,270.2
Mushroom Mycelium,23.7,6.2,100.0,0.28,100.0,5,Highly Recommended,134.4
Edible Seaweed Film,6.9,8.0,100.0,0.4,4.1,4,Consider as Option,113.8
Bamboo Fiber,57.9,6.1,96.9,1.19,48.9,7,Highly Recommended,211.8
Edible Seaweed Film,7.2,8.4,100.0,0.37,4.5,2,Consider as Option,108.4
Bioplastic (PLA),58.5,9.9,82.6,2.09,45.2,8,Consider as Option,256.0
Mushroom Mycelium,17.6,8.9,100.0,0.37,100.0,6,Highly Recommended,154.2
Bioplastic (PLA),64.7,5.0,87.0,2.31,44.3,9,Highly Recommended,224.4
Mushroom Mycelium,13.8,1.8,100.0,0.23,100.0,6,Highly Recommended,75.6
Bioplastic (PLA),59.3,7.3,82.4,2.33,47.0,9,Consider as Option,236.6
Bamboo Fiber,46.0,8.9,95.8,0.52,30.1,8,Highly Recommended,221.0
Aluminum Foil,21.6,2.1,0.0,11.76,91.1,10,Avoid,114.2
Virgin Plastic (PP),85.7,6.5,2.1,4.39,10.9,10,Avoid,286.4
Bioplastic (PLA),50.3,7.4,82.5,2.23,49.4,9,Consider as Option,219.6
Bamboo Fiber,53.6,9.3,95.7,0.8,31.5,7,Highly Recommended,235.2
Bioplastic (PLA),64.7,8.1,82.3,1.66,40.7,8,Consider as Option,250.4
Mushroom Mycelium,18.3,3.1,100.0,0.33,100.0,5,Highly Recommended,92.6
Bioplastic (PLA),74.5,8.0,86.6,2.1,46.6,9,Highly Recommended,274.0
Aluminum Foil,23.6,1.5,0.0,10.68,90.5,10,Avoid,112.2
Edible Seaweed Film,13.0,4.9,100.0,0.47,9.9,4,Consider as Option,95.0
Bamboo Fiber,46.0,3.2,95.6,0.51,35.1,6,Highly Recommended,154.0
Bamboo Fiber,42.8,3.3,96.5,1.15,35.3,8,Highly Recommended,158.6
Bamboo Fiber,42.6,3.3,99.6,1.05,41.4,6,Highly Recommended,148.2
Bamboo Fiber,54.1,1.5,95.1,0.7,48.0,8,Highly Recommended,163.2
Bioplastic (PLA),63.9,5.6,90.2,2.09,42.4,8,Highly Recommended,223.8
Virgin Plastic (PP),63.1,5.4,3.2,5.47,17.0,10,Avoid,230.2
Mushroom Mycelium,23.3,7.5,100.0,0.32,100.0,6,Highly Recommended,151.6
Recycled Cardboard,24.2,4.2,93.7,1.17,96.9,5,Highly Recommended,115.4
Edible Seaweed Film,9.7,1.4,100.0,0.21,9.5,2,Consider as Option,43.4
Virgin Plastic (PP),61.9,7.3,3.2,5.39,24.0,10,Avoid,246.8
Recycled Cardboard,28.8,3.7,95.8,1.49,85.0,4,Highly Recommended,114.6
Bamboo Fiber,59.6,4.9,98.6,0.85,47.4,8,Highly Recommended,208.2
Bagasse (Sugarcane),23.8,1.5,98.4,1.07,59.4,6,Highly Recommended,92.6
Bioplastic (PLA),54.5,3.7,80.5,2.33,57.5,9,Highly Recommended,191.0
Virgin Plastic (PP),60.2,6.5,4.7,4.16,16.0,10,Avoid,235.4
Aluminum Foil,33.5,4.7,0.0,10.18,94.9,10,Avoid,164.0
Virgin Plastic (PP),67.3,6.2,0.9,5.13,22.8,10,Avoid,246.6
Bamboo Fiber,48.0,2.6,97.1,0.85,43.9,7,Highly Recommended,157.0
Edible Seaweed Film,14.4,5.6,100.0,0.52,2.1,2,Consider as Option,94.8
Bagasse (Sugarcane),23.4,8.2,98.1,1.35,68.8,5,Highly Recommended,153.8
Bagasse (Sugarcane),28.1,8.3,97.7,1.04,68.1,5,Highly Recommended,164.2
Bagasse (Sugarcane),34.9,9.5,95.1,0.93,64.7,6,Highly Recommended,194.8
Aluminum Foil,41.3,8.0,0.0,10.88,97.5,10,Avoid,212.6
Recycled Cardboard,25.3,4.4,93.8,1.31,87.8,4,Highly Recommended,114.6
Recycled Cardboard,16.6,3.7,93.1,1.02,97.4,4,Highly Recommended,90.2
Aluminum Foil,35.0,4.3,0.0,9.61,94.5,10,Avoid,163.0
Bagasse (Sugarcane),37.2,7.1,97.9,0.99,54.6,7,Highly Recommended,180.4
Recycled Cardboard,21.6,6.5,94.0,1.28,91.9,4,Highly Recommended,128.2
Aluminum Foil,37.3,8.0,0.0,8.12,93.6,10,Avoid,204.6
Bamboo Fiber,41.6,5.8,99.9,1.15,49.7,8,Highly Recommended,181.2
Bamboo Fiber,51.5,2.1,99.8,0.58,48.2,7,Highly Recommended,159.0
Virgin Plastic (PP),64.1,2.0,1.5,5.07,23.9,10,Avoid,198.2
Bamboo Fiber,44.8,5.5,99.1,0.98,47.1,6,Highly Recommended,174.6
Aluminum Foil,27.0,4.2,0.0,11.8,92.2,10,Avoid,146.0
Edible Seaweed Film,5.8,2.5,100.0,0.37,6.1,3,Consider as Option,51.6
Recycled Cardboard,33.6,7.8,91.2,1.31,99.0,4,Highly Recommended,165.2
Mushroom Mycelium,11.9,2.9,100.0,0.38,100.0,6,Highly Recommended,82.8
Bamboo Fiber,43.0,4.2,99.5,1.09,40.1,8,Highly Recommended,168.0
Edible Seaweed Film,9.2,6.9,100.0,0.45,1.2,3,Consider as Option,102.4
Recycled Cardboard,29.4,7.3,94.5,1.46,85.7,5,Highly Recommended,156.8
Bagasse (Sugarcane),23.8,5.8,99.5,1.05,54.2,7,Highly Recommended,140.6
Virgin Plastic (PP),86.6,8.2,4.8,4.3,12.0,10,Avoid,305.2
Bagasse (Sugarcane),29.3,7.4,95.8,1.16,69.5,7,Highly Recommended,167.6
Edible Seaweed Film,5.4,8.2,100.0,0.52,8.1,2,Consider as Option,102.8
Bamboo Fiber,47.8,3.3,96.1,0.65,36.5,7,Highly Recommended,163.6
Edible Seaweed Film,12.6,1.7,100.0,0.47,3.9,2,Consider as Option,52.2
Aluminum Foil,32.9,4.5,0.0,8.53,98.6,10,Avoid,160.8
Bagasse (Sugarcane),26.1,1.6,98.5,1.34,51.1,5,Highly Recommended,93.2
Edible Seaweed Film,9.3,4.0,100.0,0.32,9.2,3,Consider as Option,73.6
Bamboo Fiber,47.9,9.9,97.5,0.93,33.5,8,Highly Recommended,234.8
Bamboo Fiber,52.3,9.7,95.8,1.18,47.6,7,Highly Recommended,236.6
Bagasse (Sugarcane),31.2,5.4,98.9,1.29,57.8,6,Highly Recommended,146.4
Virgin Plastic (PP),81.6,1.7,1.9,5.1,27.7,10,Avoid,230.2
Bagasse (Sugarcane),38.3,4.4,97.5,1.14,63.5,5,Highly Recommended,145.6
Recycled Cardboard,29.3,5.6,97.7,1.26,95.7,3,Highly Recommended,129.6
Aluminum Foil,32.9,3.5,0.0,11.81,99.9,10,Avoid,150.8
Aluminum Foil,41.7,7.8,0.0,8.96,90.2,10,Avoid,211.4
Bioplastic (PLA),57.5,4.9,83.7,1.61,53.8,9,Highly Recommended,209.0
Mushroom Mycelium,24.0,7.0,100.0,0.24,100.0,4,Highly Recommended,138.0
Bagasse (Sugarcane),21.4,3.2,95.6,0.91,65.0,7,Highly Recommended,109.8
Mushroom Mycelium,15.8,6.5,100.0,0.15,100.0,6,Highly Recommended,126.6
Mushroom Mycelium,13.9,3.2,100.0,0.12,100.0,4,Highly Recommended,79.8
Edible Seaweed Film,6.4,2.5,100.0,0.59,5.5,3,Consider as Option,52.8
Mushroom Mycelium,18.0,9.2,100.0,0.17,100.0,6,Highly Recommended,158.0
Bioplastic (PLA),55.8,8.0,85.6,2.46,48.5,8,Consider as Option,231.6
Mushroom Mycelium,16.9,2.3,100.0,0.31,100.0,4,Highly Recommended,76.8
Mushroom Mycelium,23.2,7.9,100.0,0.27,100.0,5,Highly Recommended,150.4
Virgin Plastic (PP),77.5,4.6,3.4,5.79,27.1,10,Avoid,251.0
Edible Seaweed Film,9.1,4.9,100.0,0.22,10.0,4,Consider as Option,87.2
Recycled Cardboard,15.3,6.2,96.7,1.02,99.7,5,Highly Recommended,117.6
Bagasse (Sugarcane),20.8,1.7,98.3,1.09,64.0,7,Highly Recommended,93.6
Edible Seaweed Film,13.4,4.7,100.0,0.32,0.1,4,Consider as Option,93.8
Recycled Cardboard,26.0,6.1,99.1,1.4,88.0,3,Highly Recommended,128.0
Bagasse (Sugarcane),25.0,7.9,97.8,1.12,63.2,6,Highly Recommended,159.0
Recycled Cardboard,29.8,7.8,96.1,0.97,99.9,3,Highly Recommended,152.6
Bagasse (Sugarcane),32.6,4.2,100.0,1.34,56.5,7,Highly Recommended,142.2
Bagasse (Sugarcane),24.2,1.4,96.4,1.04,58.7,7,Highly Recommended,97.4
Mushroom Mycelium,21.3,2.5,100.0,0.28,100.0,4,Highly Recommended,87.6
Bagasse (Sugarcane),23.0,9.7,98.5,1.24,66.0,6,Highly Recommended,173.0
Mushroom Mycelium,14.1,6.5,100.0,0.23,100.0,4,Highly Recommended,113.2
Edible Seaweed Film,11.2,6.7,100.0,0.25,2.9,2,Consider as Option,99.4
Bamboo Fiber,41.2,1.2,96.8,0.56,37.3,8,Highly Recommended,134.4
Edible Seaweed Film,8.8,1.9,100.0,0.46,5.0,3,Consider as Option,51.6
Virgin Plastic (PP),62.6,8.9,3.5,4.82,25.5,10,Avoid,264.2
Mushroom Mycelium,14.0,6.4,100.0,0.32,100.0,6,Highly Recommended,122.0
Virgin Plastic (PP),65.2,1.1,4.3,4.71,22.2,10,Avoid,191.4
Mushroom Mycelium,16.7,2.9,100.0,0.27,100.0,5,Highly Recommended,87.4
Bamboo Fiber,46.8,7.2,99.8,0.77,31.5,7,Highly Recommended,200.6
Aluminum Foil,23.6,0.9,0.0,11.97,93.4,10,Avoid,106.2
Bioplastic (PLA),56.5,5.3,86.6,1.51,44.7,8,Highly Recommended,206.0
Mushroom Mycelium,17.6,2.1,100.0,0.18,100.0,6,Highly Recommended,86.2
Edible Seaweed Film,11.0,8.5,100.0,0.43,5.3,4,Consider as Option,127.0
Mushroom Mycelium,16.0,5.5,100.0,0.15,100.0,6,Highly Recommended,117.0
Virgin Plastic (PP),75.0,6.9,0.2,3.83,24.8,10,Avoid,269.0
Bagasse (Sugarcane),30.1,2.6,99.4,0.93,53.3,5,Highly Recommended,111.2
Virgin Plastic (PP),70.4,9.2,0.8,5.48,20.5,10,Avoid,282.8
Edible Seaweed Film,11.2,9.4,100.0,0.57,0.8,3,Consider as Option,131.4
Bioplastic (PLA),62.0,2.9,90.5,2.09,55.7,9,Highly Recommended,198.0
Edible Seaweed Film,8.8,9.3,100.0,0.33,9.2,4,Consider as Option,130.6
Aluminum Foil,41.4,0.5,0.0,11.21,95.2,10,Avoid,137.8
Recycled Cardboard,18.4,5.2,98.1,1.47,88.7,5,Highly Recommended,113.8
Recycled Cardboard,15.4,6.6,90.6,1.23,86.5,4,Highly Recommended,116.8
Bioplastic (PLA),63.2,4.3,91.6,1.56,52.4,8,Highly Recommended,209.4
Bioplastic (PLA),74.5,2.1,91.7,2.3,54.0,8,Highly Recommended,210.0
Recycled Cardboard,22.6,1.5,95.2,1.36,84.2,5,Highly Recommended,85.2
Virgin Plastic (PP),63.0,8.1,1.3,3.54,23.4,10,Avoid,257.0
Bioplastic (PLA),50.2,1.5,91.3,1.83,53.5,8,Highly Recommended,155.4
Bagasse (Sugarcane),37.4,8.9,98.6,1.19,53.2,6,Highly Recommended,193.8
Recycled Cardboard,15.0,6.3,96.8,1.29,90.5,4,Highly Recommended,113.0
Virgin Plastic (PP),89.4,5.9,2.8,4.94,22.9,10,Avoid,287.8
Bamboo Fiber,41.5,5.2,95.5,1.11,35.8,8,Highly Recommended,175.0
Bagasse (Sugarcane),31.8,5.1,96.4,1.0,54.4,5,Highly Recommended,139.6
Recycled Cardboard,29.3,5.7,98.8,1.02,83.4,5,Highly Recommended,140.6
Mushroom Mycelium,22.2,9.6,100.0,0.29,100.0,4,Highly Recommended,160.4
Bamboo Fiber,57.6,5.3,96.3,0.73,33.4,8,Highly Recommended,208.2
Bioplastic (PLA),65.2,9.0,84.1,1.85,47.9,8,Consider as Option,260.4
Bamboo Fiber,58.1,7.0,97.7,1.01,46.7,7,Highly Recommended,221.2
Bioplastic (PLA),69.8,3.9,90.8,2.31,58.3,9,Highly Recommended,223.6
Bagasse (Sugarcane),32.4,4.3,95.6,0.99,59.8,6,Highly Recommended,137.8
Edible Seaweed Film,7.0,4.0,100.0,0.28,4.5,2,Consider as Option,64.0
Recycled Cardboard,26.7,7.7,92.5,1.35,97.9,4,Highly Recommended,150.4
