Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Biodegradable Polymer,22.18,1.0,55.4,2.453,63.1,2.61,56.9,28.8,Yes,9,Containers
Biodegradable Polymer,121.15,3.71,50.7,3.011,41.0,3.84,44.7,114.2,Yes,9,Bowls
Synthetic Polymer,55.84,7.24,75.0,11.93,51.4,1.88,87.9,-2.0,Yes,9,Cereal Boxes
Biopolymer,24.22,8.35,78.9,5.138,37.2,1.58,100.0,84.0,Yes,6,Cushion Packaging
Paper-based,45.23,0.1,32.0,5.713,84.1,1.44,60.3,-3.7,No,10,Dissolvable Pouches
Natural Polymer,101.68,8.38,92.2,2.335,55.3,2.36,71.9,80.4,Yes,3,Crates
Inorganic,125.24,3.12,56.0,9.957,76.2,2.27,100.0,66.2,Yes,8,Takeaway Boxes
Metal,52.25,9.47,39.5,7.17,100.0,2.24,69.5,14.3,No,6,Cushion Packaging
Inorganic,106.05,9.37,75.2,9.346,100.0,0.95,67.7,-20.0,Yes,1,Wraps
Natural Fiber,40.5,6.52,81.4,8.885,100.0,3.54,45.8,77.8,Yes,5,Produce Wraps
Synthetic Polymer,143.43,11.0,52.7,0.0,63.9,5.05,64.9,-2.0,Yes,8,Beverage Bottles
Natural Polymer,48.17,6.29,2.7,0.0,38.5,2.45,33.8,118.0,No,9,Beverage Bottles
Biopolymer,100.45,10.14,92.3,6.838,47.2,2.37,99.5,124.8,Yes,4,Takeaway Boxes
Natural Fiber,52.05,3.77,83.5,4.602,18.6,1.14,62.8,42.8,Yes,8,Containers
Biopolymer,81.3,9.92,33.7,7.243,65.8,1.77,34.2,8.1,No,2,Food Trays
Wood-based,117.54,5.5,5.3,4.748,33.0,4.11,60.1,-1.0,No,4,Dissolvable Pouches
Metal,1.0,6.66,80.2,5.49,47.5,1.39,83.4,63.7,Yes,5,Beverage Bottles
Plant-based Polymer,50.82,0.49,68.7,1.04,70.6,3.42,43.5,54.5,Yes,10,Bakery Packaging
Wood-based,47.2,5.01,31.9,0.214,84.2,0.32,49.4,114.9,No,7,Bowls
Plant-based Polymer,63.99,5.22,24.4,10.407,14.4,0.99,80.6,87.4,No,3,Containers
Natural Polymer,117.12,9.14,82.7,3.576,2.1,2.79,12.3,71.1,Yes,2,Bakery Packaging
Biodegradable Polymer,1.0,0.83,24.9,6.32,90.6,1.94,35.7,21.7,No,2,Produce Wraps
Synthetic Polymer,150.57,6.75,57.2,11.585,48.6,3.17,56.8,54.5,Yes,5,Dissolvable Pouches
Biopolymer,49.91,5.44,11.3,3.018,88.1,3.16,71.4,34.9,No,3,Cereal Boxes
Biopolymer,137.08,4.83,41.5,4.334,26.5,4.11,72.5,-9.4,No,1,Bakery Packaging
Metal,133.82,5.89,54.4,1.068,3.6,3.07,49.2,29.5,Yes,9,Cushion Packaging
Synthetic Polymer,42.23,4.56,86.6,9.463,46.1,4.36,26.9,71.0,Yes,10,Plates
Bio-Composite,84.35,7.96,55.5,8.4,70.7,2.65,72.2,27.6,Yes,9,Dissolvable Pouches
Natural Fiber,75.17,6.04,25.4,3.333,90.6,3.35,100.0,49.3,No,3,Cutlery
Wood-based,138.47,1.56,1.8,3.592,72.6,2.63,77.6,24.1,No,5,Cutlery
Synthetic Polymer,110.4,2.51,7.0,4.195,32.3,1.6,82.2,-10.7,No,7,Dissolvable Pouches
Plant-based Polymer,144.34,9.11,32.9,5.499,86.8,0.78,7.8,111.6,No,6,Bowls
Bio-Composite,108.96,2.99,84.8,2.056,64.3,3.03,52.1,40.2,Yes,6,Containers
Bio-Composite,77.14,5.05,72.5,9.544,49.8,2.77,83.4,17.6,Yes,6,Plates
Biopolymer,125.79,4.28,51.4,8.804,43.9,4.27,66.3,110.2,Yes,2,Food Trays
Metal,135.77,14.07,55.0,4.356,46.9,2.22,48.9,38.4,Yes,10,Edible Wraps
Plant-based Polymer,160.08,10.07,35.7,5.759,30.7,0.01,42.2,0.9,No,6,Cutlery
Biopolymer,43.81,2.74,42.2,8.117,69.3,0.47,69.2,32.9,No,4,Beverage Bottles
Plant-based Polymer,119.77,10.12,100.0,5.832,85.6,1.35,54.5,23.7,Yes,3,Dissolvable Pouches
Natural Fiber,62.1,10.66,69.7,0.005,58.8,1.99,5.6,37.7,Yes,6,Crates
Metal,95.8,2.27,53.5,4.306,70.7,1.73,95.9,158.9,Yes,8,Crates
Biodegradable Polymer,92.93,11.79,0.0,8.761,87.9,1.16,18.4,74.5,No,3,Bowls
Biopolymer,30.59,9.88,13.2,6.298,89.7,2.39,41.1,-11.0,No,4,Bakery Packaging
Bio-Composite,52.02,1.82,58.2,2.969,69.9,4.85,60.1,19.6,Yes,1,Edible Wraps
Wood-based,19.83,7.42,21.7,5.306,55.7,4.74,71.6,33.0,No,10,Produce Wraps
Synthetic Polymer,1.0,3.42,60.7,0.0,74.5,5.07,59.6,15.2,Yes,5,Plates
Biopolymer,124.24,5.72,34.6,3.071,69.1,3.35,0.0,88.1,No,5,Beverage Bottles
Natural Fiber,78.12,3.22,45.9,9.091,45.4,3.32,32.0,5.9,No,4,Bakery Packaging
Paper-based,96.25,3.95,13.4,2.179,14.6,2.58,100.0,55.7,No,10,Edible Wraps
Wood-based,59.5,3.29,79.7,4.545,63.7,3.28,47.9,76.5,Yes,10,Plates
Natural Polymer,59.91,3.4,42.2,1.062,97.5,3.52,49.6,63.2,No,7,Cutlery
Inorganic,106.55,6.2,69.8,4.771,76.5,2.93,68.0,34.9,Yes,10,Cutlery
Synthetic Polymer,25.38,8.46,20.6,13.909,95.0,1.77,68.0,47.4,No,6,Plates
Biopolymer,42.81,3.1,100.0,4.148,40.4,1.68,33.2,48.6,Yes,6,Produce Wraps
Natural Fiber,70.09,9.71,85.5,7.405,75.8,1.58,42.2,75.7,Yes,8,Produce Wraps
Natural Polymer,105.72,10.51,48.6,3.097,100.0,1.71,35.9,101.0,No,6,Bowls
Natural Fiber,99.51,5.7,96.8,9.652,71.3,3.61,86.9,8.7,Yes,2,Cutlery
Plant-based Polymer,88.44,3.19,12.1,2.567,65.4,2.04,88.7,42.6,No,2,Bakery Packaging
Metal,150.18,8.86,1.3,7.498,80.5,2.73,57.9,70.8,No,9,Bakery Packaging
Paper-based,111.14,6.52,79.2,9.411,41.9,2.3,0.0,47.7,Yes,3,Cushion Packaging
Synthetic Polymer,147.06,9.65,76.1,0.733,52.2,2.45,47.4,62.6,Yes,6,Cereal Boxes
Synthetic Polymer,56.99,9.47,79.7,11.098,14.7,3.82,58.7,72.0,Yes,2,Cutlery
Inorganic,81.86,12.68,15.9,5.467,73.2,2.16,78.5,10.5,No,2,Wraps
Inorganic,68.02,5.2,78.0,0.569,84.5,1.74,87.7,87.7,Yes,7,Containers
Synthetic Polymer,109.98,8.2,94.7,5.265,91.9,1.98,22.5,123.0,Yes,3,Cushion Packaging
Wood-based,51.25,10.27,50.5,0.0,69.4,1.4,36.2,-16.1,Yes,6,Produce Wraps
Paper-based,15.88,11.44,93.8,5.021,36.0,2.21,49.2,22.9,Yes,7,Cutlery
Biodegradable Polymer,177.03,4.51,23.4,6.146,51.2,0.01,61.7,24.1,No,9,Plates
Natural Polymer,32.8,1.64,20.9,0.358,98.9,3.11,33.5,45.3,No,3,Crates
Plant-based Polymer,60.67,9.09,48.6,8.21,90.5,1.19,79.0,20.9,No,7,Wraps
Wood-based,60.21,11.48,35.9,1.83,82.2,2.24,45.5,-20.0,No,8,Takeaway Boxes
Natural Polymer,28.63,9.05,8.0,4.046,78.9,2.85,22.5,72.7,No,6,Bowls
Wood-based,103.24,2.98,0.0,4.202,84.4,3.32,62.7,-9.8,No,7,Takeaway Boxes
Biodegradable Polymer,49.99,16.28,100.0,3.572,53.0,4.53,66.8,66.8,Yes,6,Food Trays
Paper-based,73.01,10.53,16.8,4.761,52.0,1.2,60.3,6.8,No,8,Produce Wraps
Synthetic Polymer,37.75,10.76,25.9,5.241,72.2,0.79,26.3,60.2,No,8,Crates
Paper-based,40.66,10.98,29.2,8.257,62.0,3.24,24.3,47.0,No,7,Containers
Synthetic Polymer,51.36,13.02,63.4,6.773,46.7,4.53,81.1,95.6,Yes,10,Produce Wraps
Natural Polymer,71.15,6.59,64.9,5.294,61.3,0.01,75.0,91.4,Yes,2,Bakery Packaging
Natural Polymer,61.53,12.35,0.0,5.243,44.2,4.45,27.6,96.4,No,9,Containers
Biodegradable Polymer,51.96,8.04,25.9,6.217,46.7,1.95,71.4,42.1,No,1,Cushion Packaging
Natural Fiber,114.09,9.95,38.7,1.341,40.4,3.81,100.0,92.2,No,9,Takeaway Boxes
Biodegradable Polymer,119.72,4.87,44.8,3.15,100.0,1.79,55.1,80.8,No,1,Takeaway Boxes
Biodegradable Polymer,64.48,2.44,73.6,0.0,65.2,0.02,88.7,62.1,Yes,3,Edible Wraps
Wood-based,89.51,1.51,39.9,6.824,83.6,2.05,45.3,0.7,No,4,Cereal Boxes
Plant-based Polymer,69.31,0.1,67.5,10.458,53.4,5.29,100.0,71.7,Yes,7,Crates
Synthetic Polymer,114.62,9.44,43.7,2.474,75.9,2.33,83.2,50.2,No,3,Plates
Plant-based Polymer,46.25,7.91,67.4,6.013,89.2,2.61,71.5,-20.0,Yes,3,Bowls
Bio-Composite,141.59,5.8,19.0,7.867,65.1,2.46,44.0,-14.3,No,10,Cushion Packaging
Plant-based Polymer,125.51,2.39,90.8,4.36,18.5,1.39,96.1,119.5,Yes,1,Takeaway Boxes
Synthetic Polymer,94.19,5.47,34.7,3.201,70.9,1.62,43.5,31.3,No,1,Wraps
Synthetic Polymer,85.41,4.49,90.7,2.934,50.7,2.45,82.5,0.2,Yes,6,Beverage Bottles
Bio-Composite,43.55,6.04,100.0,5.948,55.8,3.01,82.7,6.1,Yes,2,Crates
Inorganic,84.43,3.78,27.7,6.559,58.2,0.89,75.1,76.4,No,6,Containers
Plant-based Polymer,78.0,8.61,48.2,11.829,62.7,3.25,41.8,37.0,No,3,Cutlery
Plant-based Polymer,60.71,5.49,5.3,0.47,31.0,0.01,48.6,14.1,No,4,Produce Wraps
Paper-based,161.37,2.08,36.7,1.512,100.0,3.61,31.0,75.5,No,1,Takeaway Boxes
Plant-based Polymer,101.4,10.59,60.0,6.289,74.0,1.92,30.2,59.4,Yes,3,Cushion Packaging
Bio-Composite,1.26,5.31,23.0,4.275,68.2,3.28,67.1,35.0,No,9,Takeaway Boxes
Biopolymer,88.72,1.88,97.6,4.926,63.6,1.88,36.8,98.2,Yes,7,Dissolvable Pouches
Bio-Composite,35.3,9.56,43.2,1.584,55.6,3.08,27.6,30.0,No,3,Cereal Boxes
Biopolymer,31.12,5.18,78.3,5.87,38.1,2.1,32.1,27.1,Yes,3,Takeaway Boxes
Metal,136.71,13.16,17.7,5.105,93.0,4.51,40.7,71.8,No,7,Dissolvable Pouches
Biodegradable Polymer,60.79,3.02,35.2,0.0,56.4,3.34,80.4,54.5,No,7,Crates
Natural Polymer,97.09,2.68,7.5,5.374,13.4,2.49,64.8,27.4,No,6,Crates
Synthetic Polymer,53.1,7.23,52.6,3.742,63.0,4.0,54.9,2.8,Yes,6,Beverage Bottles
Bio-Composite,69.53,1.22,84.1,5.44,86.3,1.07,63.2,70.5,Yes,2,Bowls
Inorganic,13.43,0.1,44.5,0.92,41.1,0.01,37.2,16.2,No,7,Cereal Boxes
Biopolymer,112.75,8.67,32.5,6.97,35.0,3.5,62.9,73.8,No,6,Bowls
Paper-based,79.08,8.8,53.8,6.409,69.9,1.14,64.8,70.8,Yes,5,Bakery Packaging
Metal,100.71,8.96,1.7,4.936,16.2,1.64,47.0,101.4,No,6,Cushion Packaging
Wood-based,74.23,10.52,15.2,5.774,76.7,4.35,79.6,61.7,No,9,Crates
Natural Fiber,79.87,3.08,32.2,4.155,75.2,1.15,37.8,79.7,No,7,Cutlery
Metal,45.52,3.66,17.8,7.864,39.5,3.3,100.0,64.8,No,3,Takeaway Boxes
Wood-based,109.64,3.51,51.5,4.776,99.6,2.54,69.1,37.4,Yes,5,Produce Wraps
Natural Fiber,52.74,4.13,90.9,4.66,68.0,2.07,85.3,83.7,Yes,7,Crates
Synthetic Polymer,126.46,5.74,15.8,10.434,69.4,3.46,46.0,66.7,No,2,Takeaway Boxes
Bio-Composite,72.58,9.98,49.6,1.079,60.1,3.62,42.7,106.0,No,3,Containers
Metal,100.83,7.41,46.4,4.788,61.2,0.01,0.0,106.8,No,3,Food Trays
Natural Fiber,93.75,10.99,40.7,8.53,99.2,2.51,50.5,121.4,No,2,Bowls
Biodegradable Polymer,23.88,0.43,83.2,5.427,45.9,2.16,42.7,16.6,Yes,7,Cereal Boxes
Natural Polymer,107.9,8.7,30.5,4.868,78.6,3.02,70.9,75.8,No,8,Wraps
Bio-Composite,94.41,4.37,40.5,9.157,75.3,5.51,60.1,25.5,No,5,Produce Wraps
Paper-based,123.75,7.79,0.1,1.684,37.8,3.37,74.5,-20.0,No,2,Crates
Wood-based,41.08,5.96,13.5,7.411,43.4,5.18,53.9,57.9,No,3,Plates
Natural Fiber,18.94,6.67,43.0,1.836,27.8,3.64,46.0,21.2,No,3,Plates
Bio-Composite,1.0,3.89,99.1,0.605,76.7,3.39,80.7,67.6,Yes,10,Food Trays
Wood-based,147.06,6.42,0.0,8.861,37.8,4.42,72.6,34.9,No,7,Edible Wraps
Bio-Composite,113.3,6.75,17.8,4.134,38.5,1.76,0.0,67.5,No,2,Plates
Metal,82.73,9.98,38.6,3.053,64.2,3.56,56.0,35.6,No,1,Food Trays
Wood-based,149.69,11.34,56.5,5.05,38.1,0.88,63.5,38.8,Yes,1,Cereal Boxes
Paper-based,67.11,6.7,52.9,3.095,93.5,1.7,46.7,-20.0,Yes,1,Cushion Packaging
Synthetic Polymer,128.08,8.93,40.5,2.211,66.0,0.05,73.2,55.6,No,4,Produce Wraps
Metal,161.69,2.84,29.3,2.77,40.6,2.35,48.0,20.3,No,10,Cereal Boxes
Bio-Composite,88.71,7.93,0.0,7.925,75.6,3.56,45.8,64.5,No,8,Edible Wraps
Biopolymer,96.14,7.91,88.6,6.192,50.9,4.02,55.1,4.4,Yes,1,Bowls
Biodegradable Polymer,71.78,9.63,47.0,0.253,53.1,2.56,34.2,94.7,No,8,Containers
Metal,109.35,6.25,29.4,7.01,19.3,3.61,49.9,-20.0,No,8,Containers
Synthetic Polymer,36.69,5.43,37.7,6.712,95.2,0.01,46.4,126.5,No,10,Cereal Boxes
Biodegradable Polymer,31.88,2.42,28.8,7.4,91.7,0.47,68.9,15.6,No,8,Cereal Boxes
Bio-Composite,20.67,5.12,43.7,3.82,95.7,2.51,65.2,-18.1,No,7,Wraps
Synthetic Polymer,134.63,7.73,56.6,7.38,60.3,1.55,40.7,18.5,Yes,7,Crates
Wood-based,68.34,8.59,37.2,10.129,79.0,1.74,38.7,11.9,No,3,Cereal Boxes
Inorganic,42.51,3.24,8.4,1.154,61.6,2.68,61.8,60.9,No,5,Bowls
Inorganic,89.32,4.62,99.1,2.418,47.6,2.18,38.2,21.6,Yes,7,Plates
Bio-Composite,97.11,8.9,41.2,5.759,100.0,4.86,43.1,84.1,No,6,Cushion Packaging
Metal,87.27,8.16,44.3,6.836,64.9,5.63,66.4,93.9,No,5,Takeaway Boxes
Natural Fiber,33.51,6.43,69.2,7.697,21.5,0.14,83.3,48.9,Yes,8,Wraps
Wood-based,157.11,12.17,30.5,2.124,60.2,1.5,46.2,44.8,No,7,Cutlery
Paper-based,118.48,4.33,70.4,3.525,18.0,3.94,76.3,53.8,Yes,4,Wraps
Metal,90.45,9.55,64.2,6.573,36.8,2.78,24.2,74.9,Yes,5,Cutlery
Biopolymer,104.78,4.82,80.5,0.426,73.2,3.11,70.5,8.0,Yes,8,Dissolvable Pouches
Biodegradable Polymer,133.88,8.13,50.8,6.981,15.9,0.01,85.6,92.0,Yes,6,Wraps
Inorganic,54.87,9.39,37.5,0.725,52.8,4.01,41.8,54.0,No,1,Bakery Packaging
Plant-based Polymer,27.52,9.3,74.6,2.742,53.0,5.75,31.5,50.8,Yes,1,Containers
Inorganic,70.72,7.98,59.1,6.09,28.6,1.45,55.1,56.3,Yes,5,Bakery Packaging
Plant-based Polymer,1.0,0.23,89.5,6.702,25.6,4.11,15.3,109.9,Yes,8,Bowls
Wood-based,1.5,3.9,20.0,10.882,24.3,2.96,72.2,83.3,No,6,Containers
Natural Fiber,114.65,7.63,0.0,2.057,73.7,3.34,66.3,45.5,No,1,Wraps
Biodegradable Polymer,119.56,5.63,88.5,0.0,85.1,1.84,58.6,101.6,Yes,6,Dissolvable Pouches
Synthetic Polymer,78.49,10.13,38.2,7.279,55.5,2.6,65.6,95.3,No,5,Produce Wraps
Wood-based,142.37,13.61,59.9,3.657,70.2,3.22,10.1,35.7,Yes,4,Beverage Bottles
Natural Polymer,13.7,0.1,61.4,3.667,80.2,2.9,35.8,-20.0,Yes,3,Plates
Inorganic,91.75,6.45,69.4,2.42,74.1,1.93,48.7,34.2,Yes,6,Edible Wraps
Bio-Composite,56.95,0.71,65.4,4.477,35.9,2.37,56.2,115.4,Yes,8,Plates
Biodegradable Polymer,51.19,9.46,55.3,5.729,51.2,3.02,50.7,24.5,Yes,5,Produce Wraps
Synthetic Polymer,46.51,6.67,4.1,5.9,65.2,2.89,27.7,62.5,No,8,Bowls
Paper-based,38.15,6.44,88.6,5.423,60.1,1.33,73.0,14.2,Yes,7,Takeaway Boxes
Wood-based,67.45,8.65,30.2,3.789,78.1,3.66,59.3,39.8,No,5,Takeaway Boxes
Natural Fiber,44.8,9.06,52.7,0.616,29.2,5.6,74.5,-20.0,Yes,7,Dissolvable Pouches
Biopolymer,113.42,4.79,35.3,3.15,74.9,1.7,52.2,83.3,No,5,Crates
Inorganic,55.05,5.06,85.9,1.92,36.2,0.14,65.5,48.6,Yes,8,Beverage Bottles
Biodegradable Polymer,65.07,5.16,44.5,7.116,48.8,4.76,27.0,127.5,No,4,Wraps
Biopolymer,21.58,7.73,55.6,0.004,53.5,4.88,66.8,65.3,Yes,5,Cutlery
Wood-based,54.55,5.17,82.1,2.346,65.9,3.49,46.2,104.5,Yes,7,Bowls
Metal,6.55,4.95,69.1,8.319,73.2,3.7,72.1,85.1,Yes,8,Edible Wraps
Bio-Composite,75.33,9.28,64.6,0.0,61.4,1.51,47.2,125.4,Yes,6,Edible Wraps
Natural Polymer,63.14,3.75,24.1,6.204,100.0,4.63,69.2,36.1,No,5,Bakery Packaging
Metal,45.86,10.6,17.3,4.564,93.7,1.37,44.3,46.0,No,1,Cushion Packaging
Paper-based,107.24,5.27,28.1,5.105,36.6,1.89,87.2,24.8,No,1,Containers
Inorganic,1.0,0.41,62.2,4.477,68.0,1.54,49.0,53.1,Yes,9,Cushion Packaging
Wood-based,73.38,4.21,40.4,2.053,69.9,3.42,45.6,61.7,No,5,Containers
Paper-based,168.54,5.52,28.3,6.126,85.6,2.64,47.7,-20.0,No,2,Cereal Boxes
Paper-based,17.28,6.34,10.3,1.504,58.3,2.67,88.0,42.5,No,1,Bakery Packaging
Biodegradable Polymer,86.26,2.69,37.0,5.136,69.3,1.97,37.9,27.9,No,6,Cereal Boxes
Natural Polymer,82.31,6.54,100.0,3.808,54.4,3.73,51.1,81.3,Yes,7,Food Trays
Biodegradable Polymer,68.84,4.59,32.5,8.708,90.9,0.01,48.8,-20.0,No,7,Crates
Paper-based,63.46,3.8,42.7,3.714,82.7,5.63,32.8,10.2,No,4,Bakery Packaging
Plant-based Polymer,44.96,5.04,85.0,11.044,72.3,3.05,65.4,72.7,Yes,8,Containers
Wood-based,92.92,3.41,61.9,6.214,100.0,2.97,100.0,50.3,Yes,6,Bakery Packaging
Metal,48.91,6.33,51.7,7.229,44.6,4.05,87.0,58.7,Yes,2,Beverage Bottles
Synthetic Polymer,28.12,3.76,47.1,4.453,55.0,2.33,62.6,67.4,No,9,Crates
Metal,77.32,5.93,34.5,4.774,75.6,2.53,81.0,40.1,No,5,Plates
Paper-based,70.48,7.45,0.0,2.084,99.8,3.38,48.4,49.1,No,1,Produce Wraps
Natural Polymer,73.95,6.58,100.0,9.558,100.0,3.39,52.9,57.2,Yes,6,Beverage Bottles
Wood-based,61.94,4.92,38.4,8.089,100.0,2.51,79.1,50.2,No,7,Wraps
Biopolymer,1.0,11.71,35.8,7.492,50.6,1.98,77.3,33.5,No,1,Cereal Boxes
Plant-based Polymer,83.5,6.47,54.5,4.167,52.2,2.87,66.4,71.2,Yes,2,Bowls
Inorganic,96.03,10.77,26.2,4.548,94.6,4.34,38.2,-20.0,No,6,Bakery Packaging
Inorganic,88.86,5.8,58.6,2.302,67.2,2.19,67.3,41.3,Yes,1,Plates
Plant-based Polymer,122.52,8.94,42.6,6.855,70.1,2.46,66.5,35.5,No,4,Takeaway Boxes
Metal,53.48,3.34,78.0,6.532,64.7,1.99,71.7,86.3,Yes,6,Beverage Bottles
Plant-based Polymer,69.23,1.28,60.0,7.259,71.3,0.04,22.3,18.1,Yes,2,Food Trays
Bio-Composite,118.24,7.49,48.9,0.592,62.7,4.32,52.8,41.4,No,3,Wraps
Natural Polymer,50.78,3.12,62.1,4.891,74.1,2.77,60.4,40.9,Yes,1,Bakery Packaging
Natural Fiber,108.07,7.78,96.5,4.364,42.8,2.52,12.9,71.5,Yes,7,Bakery Packaging
Inorganic,108.34,7.95,35.5,7.662,100.0,2.27,65.3,74.3,No,10,Food Trays
Natural Fiber,119.93,9.26,68.1,6.213,39.7,0.71,74.1,36.0,Yes,6,Cereal Boxes
Natural Fiber,88.72,6.36,93.6,6.826,77.2,2.34,60.2,5.7,Yes,3,Beverage Bottles
Natural Fiber,60.72,7.81,36.4,6.275,41.6,1.14,15.5,25.9,No,1,Containers
Plant-based Polymer,63.25,5.06,26.3,6.262,56.8,1.81,36.9,51.2,No,1,Dissolvable Pouches
Plant-based Polymer,1.0,1.26,33.6,0.0,85.7,0.01,71.9,59.8,No,3,Edible Wraps
Bio-Composite,109.05,2.07,72.1,3.046,45.7,2.78,39.8,32.3,Yes,5,Food Trays
Biopolymer,158.95,8.77,94.0,9.71,60.9,3.93,54.1,35.1,Yes,1,Cutlery
Plant-based Polymer,101.83,6.07,56.7,9.853,65.9,2.98,44.3,53.2,Yes,5,Cushion Packaging
Synthetic Polymer,79.52,9.58,34.4,5.326,59.3,3.24,85.9,17.6,No,5,Produce Wraps
Synthetic Polymer,16.95,3.68,25.9,3.253,86.6,3.65,68.1,74.9,No,6,Bowls
Plant-based Polymer,95.06,6.05,52.3,3.549,100.0,3.61,60.4,-8.6,Yes,6,Cereal Boxes
Natural Polymer,99.83,9.63,74.4,3.089,16.9,2.33,30.0,29.2,Yes,7,Containers
Natural Fiber,52.53,7.03,68.0,0.187,55.1,1.33,25.4,36.3,Yes,1,Edible Wraps
Paper-based,45.24,7.65,53.2,6.273,58.2,0.15,48.6,51.6,Yes,10,Bakery Packaging
Wood-based,1.0,13.31,35.2,4.839,20.2,3.27,41.1,65.7,No,3,Bowls
Natural Polymer,107.76,7.37,32.9,0.0,35.3,1.98,45.8,70.3,No,6,Cereal Boxes
Wood-based,110.53,4.45,100.0,10.14,91.5,4.21,19.9,99.9,Yes,10,Dissolvable Pouches
Metal,58.12,11.92,25.9,4.268,35.3,3.9,69.2,96.7,No,5,Cushion Packaging
Natural Polymer,93.88,12.06,20.6,4.018,33.1,2.78,78.8,108.8,No,7,Dissolvable Pouches
Wood-based,41.37,2.88,58.1,4.288,61.1,2.26,83.7,125.8,Yes,6,Bakery Packaging
Paper-based,114.71,10.17,32.0,1.523,52.3,2.82,34.9,53.1,No,8,Cereal Boxes
Biodegradable Polymer,147.26,9.75,100.0,7.242,59.0,5.47,33.8,34.6,Yes,5,Containers
Natural Fiber,88.88,10.56,54.6,7.198,27.7,3.18,77.5,58.6,Yes,6,Produce Wraps
Plant-based Polymer,135.29,11.52,100.0,0.382,68.7,0.55,65.4,85.2,Yes,7,Cereal Boxes
Inorganic,92.12,7.29,29.6,7.562,65.2,2.85,34.0,59.4,No,9,Bowls
Natural Polymer,152.8,9.86,41.1,6.248,87.5,2.37,39.2,86.8,No,6,Bakery Packaging
Natural Fiber,137.96,3.54,1.1,6.148,44.5,4.07,59.4,55.8,No,8,Containers
Wood-based,43.05,5.74,33.8,7.265,55.6,3.28,46.2,120.5,No,4,Food Trays
Inorganic,30.05,7.58,70.7,9.584,74.1,5.42,62.9,86.1,Yes,7,Edible Wraps
Bio-Composite,74.93,3.1,41.3,2.496,78.9,2.75,62.7,21.9,No,9,Containers
Biodegradable Polymer,51.53,4.31,15.0,2.677,3.5,3.43,72.8,75.5,No,5,Bakery Packaging
Natural Fiber,108.29,7.11,40.8,4.87,24.9,3.53,7.0,38.8,No,5,Cutlery
Natural Fiber,96.47,7.28,20.6,2.929,87.5,3.03,87.9,66.0,No,7,Bowls
