Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Bagasse (Sugarcane),24.9,7.4,97.5,1.18,59.5,7,Highly Recommended
Mushroom Mycelium,12.1,9.7,100.0,0.14,100.0,4,Highly Recommended
Mushroom Mycelium,14.8,6.4,100.0,0.16,100.0,6,Highly Recommended
Recycled Cardboard,25.1,2.8,98.1,0.9,85.5,3,Highly Recommended
Bamboo Fiber,46.6,6.4,99.4,0.56,40.7,8,Highly Recommended
Edible Seaweed Film,11.9,2.1,100.0,0.21,3.4,4,Consider as Option
Aluminum Foil,31.6,7.7,0.0,11.06,91.1,10,Avoid
Bagasse (Sugarcane),34.8,9.8,96.1,1.06,59.7,7,Highly Recommended
Bamboo Fiber,54.4,7.2,99.7,1.03,47.1,6,Highly Recommended
Bioplastic (PLA),73.4,1.6,81.6,2.16,49.1,8,Consider as Option
Recycled Cardboard,23.1,1.3,97.8,1.42,85.8,4,Highly Recommended
Mushroom Mycelium,17.6,3.4,100.0,0.19,100.0,6,Highly Recommended
Virgin Plastic (PP),83.5,9.9,3.2,5.81,19.5,10,Avoid
Bamboo Fiber,42.8,8.1,97.3,0.81,33.2,7,Highly Recommended
Edible Seaweed Film,9.7,1.4,100.0,0.21,9.5,2,Consider as Option
Edible Seaweed Film,10.3,3.1,100.0,0.51,3.0,3,Consider as Option
Virgin Plastic (PP),62.5,1.0,0.7,5.73,18.5,10,Avoid
Bagasse (Sugarcane),34.2,6.2,95.7,1.33,55.4,5,Highly Recommended
Recycled Cardboard,19.5,8.3,95.5,0.91,82.2,5,Highly Recommended
Mushroom Mycelium,11.4,8.4,100.0,0.15,100.0,6,Highly Recommended
Bamboo Fiber,46.6,6.7,96.4,0.86,33.5,6,Highly Recommended
Virgin Plastic (PP),88.7,9.4,1.7,4.35,16.7,10,Avoid
Bamboo Fiber,47.9,1.5,98.1,1.1,30.3,8,Highly Recommended
Edible Seaweed Film,6.3,7.9,100.0,0.43,7.5,3,Consider as Option
Virgin Plastic (PP),71.8,7.9,1.5,5.96,13.5,10,Avoid
Bamboo Fiber,51.7,7.0,99.5,0.73,30.6,8,Highly Recommended
Aluminum Foil,39.4,1.6,0.0,11.69,90.3,10,Avoid
Mushroom Mycelium,24.5,1.2,100.0,0.27,100.0,6,Highly Recommended
Virgin Plastic (PP),79.7,3.7,1.0,5.68,24.8,10,Avoid
Edible Seaweed Film,7.4,2.9,100.0,0.55,0.4,3,Consider as Option
Aluminum Foil,26.9,8.2,0.0,10.97,91.8,10,Avoid
Virgin Plastic (PP),60.2,6.5,4.7,4.16,16.0,10,Avoid
Virgin Plastic (PP),87.7,2.5,1.7,5.74,29.1,10,Avoid
Virgin Plastic (PP),88.1,3.5,0.6,5.67,13.5,10,Avoid
Virgin Plastic (PP),68.1,5.5,3.1,5.87,25.3,10,Avoid
Recycled Cardboard,15.6,7.4,94.4,1.16,81.5,5,Highly Recommended
Edible Seaweed Film,14.8,8.2,100.0,0.47,2.9,2,Consider as Option
Aluminum Foil,42.2,8.8,0.0,9.15,94.6,10,Avoid
Edible Seaweed Film,10.4,2.5,100.0,0.59,9.8,2,Consider as Option
Recycled Cardboard,31.1,2.2,96.9,1.02,94.8,5,Highly Recommended
Bioplastic (PLA),70.1,5.1,88.9,2.11,57.9,9,Highly Recommended
Aluminum Foil,28.4,1.9,0.0,8.6,92.0,10,Avoid
Bamboo Fiber,50.3,9.4,97.9,0.84,42.0,8,Highly Recommended
Recycled Cardboard,32.4,9.7,97.3,1.0,97.6,5,Highly Recommended
Bamboo Fiber,49.8,9.3,98.2,0.55,34.7,7,Highly Recommended
Bioplastic (PLA),69.7,1.9,83.1,2.13,47.1,9,Highly Recommended
Bamboo Fiber,58.5,2.7,98.4,1.12,45.6,8,Highly Recommended
Bagasse (Sugarcane),33.1,0.6,97.8,1.3,57.3,5,Highly Recommended
Aluminum Foil,33.8,5.6,0.0,11.32,96.8,10,Avoid
Bagasse (Sugarcane),33.5,5.6,98.4,1.15,68.6,7,Highly Recommended
Bagasse (Sugarcane),23.6,4.2,97.4,1.1,51.6,5,Highly Recommended
Bamboo Fiber,59.5,3.2,98.8,0.98,39.0,6,Highly Recommended
Bioplastic (PLA),74.9,3.9,92.1,2.03,45.0,8,Highly Recommended
Edible Seaweed Film,12.4,7.9,100.0,0.32,1.9,4,Consider as Option
Virgin Plastic (PP),67.5,9.8,5.0,5.27,15.6,10,Avoid
Mushroom Mycelium,16.5,6.5,100.0,0.17,100.0,6,Highly Recommended
Bamboo Fiber,43.3,9.8,96.9,1.08,38.8,6,Highly Recommended
Bagasse (Sugarcane),33.5,6.5,95.0,1.16,67.5,7,Highly Recommended
Bamboo Fiber,44.2,4.5,98.5,0.91,49.7,7,Highly Recommended
Mushroom Mycelium,10.6,7.7,100.0,0.34,100.0,6,Highly Recommended
Bamboo Fiber,48.9,7.0,97.9,1.1,45.3,7,Highly Recommended
Edible Seaweed Film,10.1,7.3,100.0,0.35,6.8,3,Consider as Option
Bioplastic (PLA),57.8,4.7,94.2,2.4,55.1,8,Highly Recommended
Aluminum Foil,32.2,5.7,0.0,9.81,98.5,10,Avoid
Edible Seaweed Film,6.7,6.3,100.0,0.54,9.4,4,Consider as Option
Edible Seaweed Film,8.9,6.1,100.0,0.44,4.1,2,Consider as Option
Bagasse (Sugarcane),35.5,1.0,99.1,1.37,60.7,5,Highly Recommended
Aluminum Foil,36.0,1.6,0.0,9.45,97.7,10,Avoid
Virgin Plastic (PP),86.1,6.5,2.5,5.22,25.5,10,Avoid
Mushroom Mycelium,15.1,2.9,100.0,0.34,100.0,4,Highly Recommended
Aluminum Foil,39.3,1.7,0.0,11.5,97.4,10,Avoid
Mushroom Mycelium,23.2,9.1,100.0,0.23,100.0,5,Highly Recommended
Bagasse (Sugarcane),34.8,9.8,96.1,1.06,59.7,7,Highly Recommended
Recycled Cardboard,33.2,7.8,95.6,1.19,80.2,3,Highly Recommended
Aluminum Foil,30.1,7.6,0.0,8.9,95.7,10,Avoid
Aluminum Foil,39.4,8.7,0.0,10.66,93.6,10,Avoid
Bioplastic (PLA),59.2,1.3,83.8,1.67,53.2,9,Highly Recommended
Bioplastic (PLA),52.0,1.7,93.0,1.84,40.3,8,Highly Recommended
Bamboo Fiber,48.1,7.4,99.3,1.04,36.4,8,Highly Recommended
Bagasse (Sugarcane),23.1,4.1,97.8,1.27,57.0,6,Highly Recommended
Bamboo Fiber,55.7,2.1,95.8,0.63,39.8,6,Highly Recommended
Edible Seaweed Film,10.3,0.6,100.0,0.44,1.5,4,Consider as Option
Mushroom Mycelium,17.7,3.7,100.0,0.18,100.0,6,Highly Recommended
Recycled Cardboard,15.7,5.7,96.7,1.38,97.4,3,Highly Recommended
Mushroom Mycelium,15.7,3.2,100.0,0.27,100.0,6,Highly Recommended
Recycled Cardboard,25.7,7.8,96.7,0.92,91.6,3,Highly Recommended
Bagasse (Sugarcane),22.0,5.3,98.2,1.18,52.5,5,Highly Recommended
Bamboo Fiber,42.1,1.9,96.2,0.93,34.1,6,Highly Recommended
Aluminum Foil,36.3,3.1,0.0,11.71,94.7,10,Avoid
Mushroom Mycelium,24.7,8.5,100.0,0.15,100.0,4,Highly Recommended
Edible Seaweed Film,9.1,3.6,100.0,0.32,6.5,3,Consider as Option
Recycled Cardboard,27.0,1.5,97.0,1.07,81.2,4,Highly Recommended
Recycled Cardboard,30.6,2.2,97.2,1.36,90.8,3,Highly Recommended
Bagasse (Sugarcane),24.1,1.9,95.1,1.34,62.0,5,Highly Recommended
Bioplastic (PLA),51.9,3.5,85.6,1.73,44.0,8,Highly Recommended
Recycled Cardboard,28.8,3.7,95.8,1.49,85.0,4,Highly Recommended
Bioplastic (PLA),57.2,1.0,94.8,1.52,58.8,8,Highly Recommended
Virgin Plastic (PP),79.6,7.8,1.8,5.12,19.5,10,Avoid
Bioplastic (PLA),63.3,7.0,83.0,1.63,56.8,8,Highly Recommended
Bioplastic (PLA),61.2,3.5,94.2,1.66,52.1,8,Highly Recommended
Recycled Cardboard,20.0,5.0,92.1,1.31,99.3,5,Highly Recommended
Bioplastic (PLA),53.1,3.8,94.7,1.82,58.4,8,Highly Recommended
Recycled Cardboard,34.0,5.8,97.9,1.41,99.9,4,Highly Recommended
Virgin Plastic (PP),63.1,5.4,3.2,5.47,17.0,10,Avoid
Recycled Cardboard,26.5,0.9,92.3,1.03,89.6,4,Highly Recommended
Virgin Plastic (PP),72.6,4.7,1.1,5.93,17.5,10,Avoid
Mushroom Mycelium,13.2,7.9,100.0,0.39,100.0,4,Highly Recommended
Bamboo Fiber,50.5,0.6,95.2,0.77,43.1,6,Highly Recommended
Aluminum Foil,33.6,6.5,0.0,10.6,94.6,10,Avoid
Bamboo Fiber,45.1,3.9,97.1,0.59,30.8,7,Highly Recommended
Bamboo Fiber,43.5,8.9,98.2,1.09,30.6,6,Highly Recommended
Recycled Cardboard,16.8,3.5,97.0,1.41,87.5,5,Highly Recommended
Mushroom Mycelium,15.3,1.8,100.0,0.38,100.0,4,Highly Recommended
Recycled Cardboard,33.1,3.5,91.9,1.44,87.0,5,Highly Recommended
Edible Seaweed Film,14.0,9.5,100.0,0.25,6.3,4,Consider as Option
Bioplastic (PLA),69.4,5.4,84.1,2.24,49.3,9,Highly Recommended
Virgin Plastic (PP),68.3,9.3,3.0,5.44,29.2,10,Avoid
Recycled Cardboard,25.4,6.5,99.2,1.0,81.6,5,Highly Recommended
Recycled Cardboard,28.4,8.1,90.3,1.2,98.6,5,Highly Recommended
Aluminum Foil,41.4,4.0,0.0,10.98,92.1,10,Avoid
Recycled Cardboard,33.1,1.0,91.5,0.99,98.9,3,Highly Recommended
Bioplastic (PLA),70.2,8.3,86.2,1.67,44.7,8,Highly Recommended
Aluminum Foil,43.8,2.4,0.0,8.8,95.2,10,Avoid
Bioplastic (PLA),63.4,10.0,86.9,2.03,49.4,8,Highly Recommended
Mushroom Mycelium,16.2,4.1,100.0,0.37,100.0,6,Highly Recommended
Aluminum Foil,42.3,2.1,0.0,8.82,93.6,10,Avoid
Edible Seaweed Film,10.3,8.4,100.0,0.35,0.5,2,Consider as Option
Edible Seaweed Film,8.8,6.1,100.0,0.56,3.5,2,Consider as Option
Virgin Plastic (PP),63.2,5.6,2.1,3.94,19.0,10,Avoid
Mushroom Mycelium,23.3,4.8,100.0,0.37,100.0,4,Highly Recommended
Mushroom Mycelium,24.3,4.1,100.0,0.18,100.0,5,Highly Recommended
Bagasse (Sugarcane),20.8,1.7,98.3,1.09,64.0,7,Highly Recommended
Edible Seaweed Film,12.3,4.9,100.0,0.33,2.8,3,Consider as Option
Mushroom Mycelium,16.3,5.5,100.0,0.2,100.0,4,Highly Recommended
Virgin Plastic (PP),68.4,5.2,4.0,5.67,24.4,10,Avoid
Aluminum Foil,26.7,8.7,0.0,10.35,91.8,10,Avoid
Recycled Cardboard,15.9,7.9,99.8,1.15,90.1,3,Highly Recommended
Virgin Plastic (PP),77.7,3.5,3.4,4.95,17.0,10,Avoid
Recycled Cardboard,28.4,6.0,98.1,0.89,84.0,5,Highly Recommended
Bagasse (Sugarcane),37.4,8.8,95.9,1.18,55.7,5,Highly Recommended
Aluminum Foil,24.9,0.5,0.0,9.5,96.2,10,Avoid
Virgin Plastic (PP),71.1,5.0,1.5,5.4,15.3,10,Avoid
Bagasse (Sugarcane),38.7,7.4,98.3,1.21,63.1,5,Highly Recommended
Edible Seaweed Film,7.9,7.3,100.0,0.35,2.6,4,Consider as Option
Bamboo Fiber,46.1,8.7,96.5,1.12,36.6,6,Highly Recommended
Aluminum Foil,24.1,2.2,0.0,10.61,94.5,10,Avoid
Bioplastic (PLA),72.5,6.2,87.7,2.31,52.3,9,Highly Recommended
Mushroom Mycelium,11.4,7.9,100.0,0.39,100.0,5,Highly Recommended
Aluminum Foil,29.5,4.0,0.0,10.27,99.8,10,Avoid
Bioplastic (PLA),59.2,1.5,94.2,2.13,42.2,8,Highly Recommended
Bagasse (Sugarcane),28.1,4.3,99.9,1.36,64.5,5,Highly Recommended
Aluminum Foil,21.8,1.1,0.0,10.55,99.3,10,Avoid
Recycled Cardboard,29.2,1.4,96.1,1.03,80.4,3,Highly Recommended
Edible Seaweed Film,10.1,0.6,100.0,0.3,2.0,4,Consider as Option
Virgin Plastic (PP),82.4,6.5,0.9,4.64,16.6,10,Avoid
Bioplastic (PLA),62.6,8.8,80.4,1.62,41.5,9,Highly Recommended
Mushroom Mycelium,13.9,3.2,100.0,0.12,100.0,4,Highly Recommended
Bagasse (Sugarcane),38.6,5.8,97.1,1.07,59.8,7,Highly Recommended
Mushroom Mycelium,17.8,5.2,100.0,0.13,100.0,5,Highly Recommended
Bagasse (Sugarcane),38.9,4.7,98.9,1.33,57.6,6,Highly Recommended
Aluminum Foil,34.2,7.9,0.0,11.08,96.3,10,Avoid
Bioplastic (PLA),67.6,0.7,84.3,2.45,45.2,8,Consider as Option
Mushroom Mycelium,21.4,5.7,100.0,0.38,100.0,4,Highly Recommended
Virgin Plastic (PP),85.2,8.8,2.7,5.9,18.4,10,Avoid
Aluminum Foil,30.1,6.5,0.0,10.57,94.3,10,Avoid
Recycled Cardboard,16.9,9.5,99.6,1.44,99.2,3,Highly Recommended
Recycled Cardboard,22.5,8.7,92.0,1.1,91.9,3,Highly Recommended
Mushroom Mycelium,16.9,4.3,100.0,0.19,100.0,5,Highly Recommended
Bagasse (Sugarcane),28.6,9.3,98.5,1.26,63.4,7,Highly Recommended
Virgin Plastic (PP),74.4,1.4,3.7,3.56,11.9,10,Avoid
Aluminum Foil,29.9,9.0,0.0,8.78,99.1,10,Avoid
Virgin Plastic (PP),79.7,3.7,1.0,5.68,24.8,10,Avoid
Bagasse (Sugarcane),25.1,7.9,98.4,1.4,66.8,6,Highly Recommended
Edible Seaweed Film,5.2,3.2,100.0,0.31,4.2,4,Consider as Option
Bagasse (Sugarcane),36.6,7.8,98.8,1.39,67.1,5,Highly Recommended
Bamboo Fiber,55.9,2.4,99.4,1.17,36.1,7,Highly Recommended
Virgin Plastic (PP),71.7,6.6,1.2,5.16,26.5,10,Avoid
Bioplastic (PLA),63.3,7.0,83.0,1.63,56.8,8,Highly Recommended
Recycled Cardboard,18.0,8.8,94.2,1.1,97.7,5,Highly Recommended
Virgin Plastic (PP),62.5,1.0,0.7,5.73,18.5,10,Avoid
Edible Seaweed Film,12.3,3.6,100.0,0.4,5.7,2,Consider as Option
Bamboo Fiber,54.6,3.4,95.2,0.63,33.6,6,Highly Recommended
Virgin Plastic (PP),82.6,6.4,1.8,3.81,14.7,10,Avoid
Virgin Plastic (PP),71.7,3.0,1.6,5.88,13.3,10,Avoid
Recycled Cardboard,22.1,6.5,95.8,1.1,80.2,3,Highly Recommended
Bagasse (Sugarcane),34.4,4.4,98.6,0.97,60.0,6,Highly Recommended
Aluminum Foil,37.4,8.2,0.0,9.95,93.7,10,Avoid
Aluminum Foil,39.8,5.7,0.0,10.31,90.5,10,Avoid
Bioplastic (PLA),70.9,7.1,85.6,1.64,55.2,9,Highly Recommended
Aluminum Foil,34.0,2.6,0.0,9.59,90.6,10,Avoid
Bamboo Fiber,57.6,1.6,99.8,0.74,32.0,8,Highly Recommended
Aluminum Foil,27.0,4.2,0.0,11.8,92.2,10,Avoid
Bamboo Fiber,52.0,3.4,98.1,0.76,32.1,8,Highly Recommended
Virgin Plastic (PP),64.0,6.0,1.4,5.17,11.8,10,Avoid
Recycled Cardboard,28.4,6.0,98.1,0.89,84.0,5,Highly Recommended
Bagasse (Sugarcane),29.4,6.8,97.0,0.95,50.5,7,Highly Recommended
Bioplastic (PLA),61.8,8.3,85.9,2.49,43.7,8,Consider as Option
Edible Seaweed Film,14.6,4.3,100.0,0.2,1.2,4,Consider as Option
Virgin Plastic (PP),66.3,3.6,3.4,3.8,27.0,10,Avoid
Recycled Cardboard,24.7,7.9,95.9,1.09,83.8,4,Highly Recommended
Recycled Cardboard,16.5,3.2,97.0,0.92,85.3,4,Highly Recommended
Bamboo Fiber,53.4,6.1,100.0,1.07,35.9,6,Highly Recommended
Bioplastic (PLA),51.0,0.7,88.1,2.0,53.7,9,Highly Recommended
Bagasse (Sugarcane),37.4,6.1,96.5,1.08,68.6,6,Highly Recommended
Virgin Plastic (PP),69.7,2.1,3.0,4.12,27.9,10,Avoid
Bagasse (Sugarcane),29.0,8.5,97.2,0.95,62.5,5,Highly Recommended
Virgin Plastic (PP),76.0,0.7,3.0,4.1,12.3,10,Avoid
Bamboo Fiber,53.4,0.7,96.2,1.01,35.4,6,Highly Recommended
Bioplastic (PLA),53.1,3.8,94.7,1.82,58.4,8,Highly Recommended
Recycled Cardboard,19.9,5.3,97.6,1.48,86.5,4,Highly Recommended
Virgin Plastic (PP),89.4,5.9,2.8,4.94,22.9,10,Avoid
Virgin Plastic (PP),80.8,0.7,3.9,4.95,24.3,10,Avoid
Edible Seaweed Film,12.3,4.8,100.0,0.29,8.7,4,Consider as Option
Bagasse (Sugarcane),38.7,7.4,98.3,1.21,63.1,5,Highly Recommended
Aluminum Foil,21.2,3.1,0.0,10.07,97.0,10,Avoid
Bagasse (Sugarcane),30.1,9.0,96.9,1.32,62.7,6,Highly Recommended
Aluminum Foil,23.6,1.5,0.0,10.68,90.5,10,Avoid
Mushroom Mycelium,19.7,5.2,100.0,0.14,100.0,6,Highly Recommended
Bioplastic (PLA),66.8,9.9,90.2,2.43,48.0,8,Consider as Option
Bamboo Fiber,49.0,3.1,98.2,1.06,36.3,7,Highly Recommended
Virgin Plastic (PP),78.7,0.8,0.8,4.06,25.3,10,Avoid
Bagasse (Sugarcane),30.6,1.6,98.3,1.19,62.7,5,Highly Recommended
Bamboo Fiber,40.3,9.5,98.4,0.87,45.3,8,Highly Recommended
Aluminum Foil,43.6,3.2,0.0,8.94,90.4,10,Avoid
Recycled Cardboard,18.3,4.1,92.8,1.2,97.6,5,Highly Recommended
Recycled Cardboard,16.3,1.2,98.9,1.37,94.9,4,Highly Recommended
Edible Seaweed Film,11.3,7.3,100.0,0.25,7.5,3,Consider as Option
Bagasse (Sugarcane),36.5,5.9,95.1,0.98,50.6,5,Highly Recommended
Virgin Plastic (PP),73.5,1.2,1.6,4.01,16.9,10,Avoid
Bagasse (Sugarcane),39.0,0.6,96.0,0.94,60.8,7,Highly Recommended
Bamboo Fiber,44.9,5.8,98.9,0.94,34.3,6,Highly Recommended
Bagasse (Sugarcane),28.2,6.5,96.5,1.01,62.0,5,Highly Recommended
Bamboo Fiber,54.5,5.2,96.2,0.65,47.2,8,Highly Recommended
Edible Seaweed Film,6.2,1.0,100.0,0.22,0.5,3,Consider as Option
Bamboo Fiber,49.7,8.2,98.7,0.65,36.4,8,Highly Recommended
Recycled Cardboard,18.4,9.0,92.0,1.4,86.0,3,Highly Recommended
Edible Seaweed Film,10.7,7.0,100.0,0.49,8.2,2,Consider as Option
Virgin Plastic (PP),85.3,8.9,3.3,5.2,28.2,10,Avoid
Virgin Plastic (PP),68.6,5.5,4.4,5.15,28.3,10,Avoid
Virgin Plastic (PP),73.5,5.5,1.3,4.29,16.5,10,Avoid
Aluminum Foil,21.7,3.5,0.0,9.41,95.7,10,Avoid
Bamboo Fiber,57.6,8.9,95.4,1.02,46.6,8,Highly Recommended
Recycled Cardboard,29.6,8.1,95.2,1.25,84.4,3,Highly Recommended
Mushroom Mycelium,13.4,5.4,100.0,0.3,100.0,4,Highly Recommended
Bioplastic (PLA),59.4,8.4,91.3,2.01,53.7,9,Highly Recommended
Bioplastic (PLA),58.6,8.4,89.6,2.1,56.3,9,Highly Recommended
Mushroom Mycelium,12.9,5.0,100.0,0.24,100.0,5,Highly Recommended
Virgin Plastic (PP),72.4,7.4,2.5,4.07,10.6,10,Avoid
Bioplastic (PLA),67.8,6.4,86.6,2.48,54.3,8,Consider as Option
Bamboo Fiber,44.9,5.3,95.5,1.09,36.6,8,Highly Recommended
Mushroom Mycelium,15.0,9.2,100.0,0.22,100.0,5,Highly Recommended
Recycled Cardboard,20.9,3.6,99.2,1.2,86.1,5,Highly Recommended
Bioplastic (PLA),61.9,7.2,85.9,1.8,56.4,9,Highly Recommended
Edible Seaweed Film,6.1,5.4,100.0,0.29,2.4,4,Consider as Option
Bagasse (Sugarcane),30.1,4.8,97.3,0.94,63.1,6,Highly Recommended
Bagasse (Sugarcane),28.9,9.6,96.2,0.98,57.0,5,Highly Recommended
Bioplastic (PLA),70.0,9.6,92.1,2.18,41.3,8,Highly Recommended
Edible Seaweed Film,14.8,3.5,100.0,0.28,2.1,4,Consider as Option
Recycled Cardboard,28.9,0.6,99.0,1.02,98.1,4,Highly Recommended
Edible Seaweed Film,9.3,5.3,100.0,0.41,3.2,3,Consider as Option
Bioplastic (PLA),63.7,6.7,82.6,1.62,56.8,8,Highly Recommended
Edible Seaweed Film,9.7,2.2,100.0,0.5,9.4,2,Consider as Option
Edible Seaweed Film,8.1,5.6,100.0,0.36,5.1,2,Consider as Option
Edible Seaweed Film,10.1,5.4,100.0,0.56,6.5,2,Consider as Option
Bagasse (Sugarcane),35.9,6.1,95.3,1.39,62.6,5,Highly Recommended
Bamboo Fiber,56.1,9.7,96.6,0.86,37.4,6,Highly Recommended
