ProductID,ProductName,ProductCategory,Weight_g,FragilityLevel,Dimensions_cm,MaterialType,SustainabilityScore,Material_Type_ID,Strength_mpa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,SuggestedEcoMaterial,CostPerPackage
PROD-0013,Laptop Model 121,Laptop,1193.7,5,48x27x9,Plastic,49.45,4,238.69,23.87,5.05,60.13,48.78,Recycled PET,166.65
PROD-0014,Headphones Model 847,Headphones,458.19,3,28x35x4,Plastic,75.81,1,59.14,5.91,9.52,47.7,62.89,Molded Pulp,83.01
PROD-0015,Smartphone Model 660,Smartphone,2227.6,1,20x38x7,Cardboard,52.62,4,174.69,17.47,3.52,49.4,64.22,Molded Pulp,154.57
PROD-0016,Tablet Model 158,Tablet,2578.05,1,32x11x9,Aluminum,44.86,1,195.81,19.58,3.64,58.69,50.5,Recycled PET,173.44
PROD-0017,Laptop Model 575,Laptop,2819.21,2,11x11x19,Aluminum,17.57,2,238.15,23.82,2.26,89.86,14.2,Recycled PET,203.16
PROD-0018,Smartwatch Model 882,Smartwatch,1502.47,3,22x25x3,Plastic,74.21,3,238.64,23.86,7.28,40.44,75.18,Bio-Polymer,155.04
PROD-0019,Camera Model 786,Camera,2117.55,4,31x12x3,Plastic,50.48,2,135.93,13.59,3.89,52.09,58.18,Bio-Polymer,188.93
PROD-0020,Camera Model 662,Camera,2573.88,4,22x16x9,Aluminum,40.02,3,426.6,42.66,8.22,88.66,11.87,Recycled PET,242.21
PROD-0021,Smartwatch Model 666,Smartwatch,1283.96,3,26x12x11,Plastic,81.0,4,184.22,18.42,9.75,41.19,70.03,Bio-Polymer,138.13
PROD-0022,Smartwatch Model 931,Smartwatch,962.77,4,32x36x12,Aluminum,47.74,4,122.5,12.25,1.39,45.88,70.28,Molded Pulp,129.56
PROD-0023,Smartphone Model 230,Smartphone,2813.34,2,25x30x15,Aluminum,72.66,1,96.15,9.61,9.94,57.17,54.85,Molded Pulp,191.15
PROD-0024,Headphones Model 918,Headphones,1571.25,5,19x18x13,Composite,18.58,2,168.06,16.81,3.29,91.93,9.05,Molded Pulp,180.69
PROD-0025,Headphones Model 940,Headphones,1516.9,1,40x7x13,Plastic,40.28,2,43.1,4.31,4.78,73.0,35.26,Molded Pulp,105.33
PROD-0026,Laptop Model 487,Laptop,576.33,3,11x5x8,Cardboard,35.05,4,26.12,2.61,8.0,93.72,5.09,Molded Pulp,85.96
PROD-0027,Smartphone Model 415,Smartphone,369.06,1,29x35x11,Aluminum,56.61,2,306.52,30.65,6.99,60.04,47.76,Molded Pulp,73.0
PROD-0028,Camera Model 341,Camera,2534.22,5,22x17x9,Plastic,86.41,3,313.38,31.34,8.01,25.53,90.64,Bio-Polymer,242.63
PROD-0029,Laptop Model 876,Laptop,1861.69,3,13x19x9,Plastic,20.92,4,269.5,26.95,5.2,100.37,0.23,Recycled PET,174.59
PROD-0030,Laptop Model 664,Laptop,1011.18,5,37x39x10,Plastic,52.98,1,383.52,38.35,9.24,77.46,26.66,Recycled PET,174.76
PROD-0031,Laptop Model 439,Laptop,615.62,4,23x30x2,Aluminum,80.43,1,29.18,2.92,8.11,33.1,79.99,Bio-Polymer,102.05
PROD-0032,Smartwatch Model 466,Smartwatch,1688.72,4,7x38x2,Aluminum,15.72,4,468.63,46.86,3.78,99.39,0.99,Bio-Polymer,202.77
PROD-0033,Smartwatch Model 554,Smartwatch,1772.56,4,22x37x10,Aluminum,38.76,4,56.58,5.66,9.54,100.33,1.02,Bio-Polymer,165.81
PROD-0034,Smartwatch Model 608,Smartwatch,660.63,5,11x34x14,Plastic,75.25,1,340.27,34.03,9.65,50.86,61.08,Recycled PET,151.42
PROD-0035,Tablet Model 305,Tablet,2561.65,5,21x17x14,Cardboard,66.29,3,75.36,7.54,4.74,39.14,78.92,Bio-Polymer,222.02
PROD-0036,Smartphone Model 661,Smartphone,298.58,5,46x14x15,Composite,74.06,2,441.15,44.12,6.87,39.49,77.65,Bio-Polymer,143.04
PROD-0037,Smartwatch Model 101,Smartwatch,1100.47,1,47x9x5,Cardboard,80.11,4,260.25,26.02,8.33,39.87,77.96,Recycled PET,107.18
PROD-0038,Camera Model 489,Camera,2057.13,5,39x27x6,Aluminum,55.08,4,50.32,5.03,8.36,72.69,36.1,Bio-Polymer,192.07
PROD-0039,Camera Model 205,Camera,858.66,4,48x32x11,Aluminum,57.47,3,312.19,31.22,1.13,29.85,88.27,Molded Pulp,145.19
PROD-0040,Smartwatch Model 921,Smartwatch,2491.64,2,38x35x8,Aluminum,27.41,1,14.46,1.45,6.66,96.49,1.28,Recycled PET,164.59
PROD-0041,Headphones Model 802,Headphones,2232.61,5,11x8x13,Cardboard,57.78,4,390.25,39.03,9.76,74.33,31.22,Recycled PET,236.74
PROD-0042,Laptop Model 829,Laptop,2377.62,2,36x32x5,Cardboard,32.56,3,328.79,32.88,3.08,72.0,33.72,Recycled PET,193.05
PROD-0043,Smartwatch Model 261,Smartwatch,401.36,4,43x12x15,Aluminum,42.58,4,114.19,11.42,8.16,84.98,16.56,Bio-Polymer,100.02
PROD-0044,Laptop Model 369,Laptop,464.61,5,34x7x3,Composite,43.41,3,193.63,19.36,5.81,71.95,33.62,Recycled PET,129.35
PROD-0045,Camera Model 826,Camera,895.1,1,14x10x8,Composite,47.13,3,13.83,1.38,2.99,50.2,58.59,Molded Pulp,72.16
PROD-0046,Smartwatch Model 801,Smartwatch,1578.33,1,20x10x17,Plastic,37.05,1,349.91,34.99,1.46,60.15,52.03,Molded Pulp,136.91
PROD-0047,Headphones Model 819,Headphones,2256.65,2,31x16x16,Cardboard,50.52,2,168.11,16.81,7.84,72.33,31.94,Recycled PET,169.15
PROD-0048,Headphones Model 437,Headphones,2517.77,1,26x39x17,Composite,60.35,1,290.08,29.01,3.85,41.68,74.93,Molded Pulp,180.93
PROD-0049,Headphones Model 891,Headphones,2127.79,1,19x27x7,Aluminum,60.41,3,478.8,47.88,4.38,45.47,71.48,Bio-Polymer,179.99
PROD-0050,Laptop Model 316,Laptop,2789.36,1,6x6x18,Cardboard,38.31,2,156.74,15.67,5.37,76.01,28.07,Recycled PET,180.25
PROD-0051,Smartwatch Model 287,Smartwatch,2229.29,4,23x9x5,Plastic,41.65,2,495.22,49.52,5.56,73.03,32.32,Molded Pulp,231.91
PROD-0052,Smartwatch Model 592,Smartwatch,953.49,1,32x22x9,Plastic,28.67,1,320.04,32.0,2.86,78.0,28.75,Bio-Polymer,103.8
PROD-0053,Smartphone Model 256,Smartphone,831.99,3,45x35x12,Cardboard,35.87,1,128.62,12.86,7.04,88.82,12.89,Recycled PET,109.51
PROD-0054,Headphones Model 164,Headphones,2103.77,5,20x8x10,Aluminum,74.1,4,224.02,22.4,7.23,38.18,75.28,Recycled PET,211.74
PROD-0055,Smartphone Model 938,Smartphone,618.97,1,49x29x9,Composite,11.9,2,372.82,37.28,2.28,97.18,4.63,Recycled PET,93.37
PROD-0056,Smartphone Model 443,Smartphone,323.51,1,47x13x19,Cardboard,32.22,3,228.77,22.88,5.8,86.47,15.06,Molded Pulp,65.05
PROD-0057,Smartphone Model 747,Smartphone,1620.06,1,35x39x19,Aluminum,32.25,4,43.57,4.36,6.48,95.85,10.53,Recycled PET,111.14
PROD-0058,Tablet Model 598,Tablet,2473.84,3,23x28x19,Cardboard,60.23,4,92.62,9.26,2.68,35.1,82.53,Molded Pulp,188.18
PROD-0059,Smartphone Model 491,Smartphone,349.07,1,26x18x16,Plastic,38.84,4,397.74,39.77,9.05,97.82,4.4,Bio-Polymer,83.22
PROD-0060,Tablet Model 518,Tablet,2386.08,1,25x30x5,Cardboard,61.26,4,327.7,32.77,5.35,46.65,66.46,Bio-Polymer,178.16
PROD-0061,Smartphone Model 478,Smartphone,2444.14,5,16x11x12,Aluminum,10.81,1,289.21,28.92,2.04,100.17,4.45,Bio-Polymer,237.93
PROD-0062,Headphones Model 589,Headphones,1472.71,3,43x24x4,Aluminum,63.22,2,92.13,9.21,4.01,35.6,78.64,Recycled PET,139.02
PROD-0063,Laptop Model 140,Laptop,219.07,3,8x6x16,Plastic,75.93,4,420.5,42.05,5.29,28.5,91.27,Bio-Polymer,108.66
PROD-0064,Smartwatch Model 234,Smartwatch,565.04,1,24x16x18,Aluminum,33.58,2,480.76,48.08,1.09,58.38,48.68,Molded Pulp,102.26
PROD-0065,Smartphone Model 939,Smartphone,2136.91,3,22x28x9,Aluminum,53.42,3,30.03,3.0,1.29,40.22,80.45,Molded Pulp,165.09
PROD-0066,Smartwatch Model 132,Smartwatch,2149.74,2,41x34x6,Plastic,48.38,2,48.24,4.82,1.5,45.13,70.64,Molded Pulp,152.03
PROD-0067,Camera Model 827,Camera,2700.15,3,14x37x5,Aluminum,71.11,1,443.52,44.35,5.84,34.47,79.56,Molded Pulp,235.23
PROD-0068,Headphones Model 198,Headphones,1768.92,3,20x32x13,Aluminum,62.11,2,409.62,40.96,4.02,39.71,76.68,Molded Pulp,185.17
PROD-0069,Smartwatch Model 971,Smartwatch,416.12,3,24x22x6,Cardboard,48.47,3,312.79,31.28,9.04,85.7,20.54,Molded Pulp,107.38
PROD-0070,Camera Model 646,Camera,408.17,4,30x11x12,Cardboard,54.11,3,473.03,47.3,6.03,58.25,49.96,Bio-Polymer,137.52
PROD-0071,Smartphone Model 838,Smartphone,2177.34,4,25x36x8,Cardboard,88.98,4,326.75,32.68,7.84,22.25,96.04,Recycled PET,211.29
PROD-0072,Headphones Model 561,Headphones,592.16,4,27x24x5,Cardboard,49.35,3,115.83,11.58,7.18,70.53,34.35,Molded Pulp,110.78
PROD-0073,Tablet Model 868,Tablet,1018.74,3,28x5x3,Composite,80.96,4,367.03,36.7,5.68,23.32,97.05,Bio-Polymer,143.9
PROD-0074,Headphones Model 317,Headphones,1487.28,2,30x9x3,Cardboard,65.8,1,326.4,32.64,7.7,53.71,58.32,Bio-Polymer,148.18
PROD-0075,Camera Model 970,Camera,123.06,3,36x38x19,Cardboard,51.31,1,493.01,49.3,5.9,63.13,46.16,Molded Pulp,111.59
PROD-0076,Tablet Model 492,Tablet,784.02,1,34x28x15,Cardboard,57.34,1,114.81,11.48,4.47,45.77,65.78,Bio-Polymer,74.63
PROD-0077,Laptop Model 653,Laptop,1253.27,2,7x14x7,Plastic,68.64,2,302.96,30.3,4.92,34.32,81.58,Molded Pulp,132.6
PROD-0078,Smartwatch Model 560,Smartwatch,874.93,4,38x35x12,Cardboard,57.84,3,392.28,39.23,8.55,67.03,39.42,Recycled PET,152.72
PROD-0079,Tablet Model 674,Tablet,452.29,5,17x24x11,Composite,26.26,3,176.1,17.61,6.07,98.33,3.3,Molded Pulp,124.62
PROD-0080,Smartphone Model 663,Smartphone,2197.64,2,30x23x14,Composite,60.11,3,196.04,19.6,4.4,41.19,70.88,Recycled PET,171.35
PROD-0081,Headphones Model 195,Headphones,2448.79,4,38x24x13,Composite,67.84,4,445.07,44.51,2.62,21.91,95.62,Bio-Polymer,237.35
PROD-0082,Smartwatch Model 833,Smartwatch,809.56,2,44x22x3,Aluminum,59.33,4,208.06,20.81,5.46,51.63,62.5,Bio-Polymer,101.61
PROD-0083,Headphones Model 506,Headphones,2334.54,2,12x20x9,Plastic,24.39,1,316.12,31.61,3.27,84.05,18.84,Molded Pulp,187.87
PROD-0084,Headphones Model 754,Headphones,1187.38,3,27x36x14,Cardboard,53.3,3,445.73,44.57,9.6,83.66,24.82,Bio-Polymer,159.8
PROD-0085,Tablet Model 640,Tablet,1544.72,1,30x5x3,Cardboard,76.26,2,112.82,11.28,5.42,27.61,90.98,Bio-Polymer,115.71
PROD-0086,Smartwatch Model 624,Smartwatch,2575.2,5,43x17x5,Aluminum,5.14,2,491.12,49.11,1.08,95.29,1.36,Recycled PET,262.95
PROD-0087,Tablet Model 342,Tablet,2262.36,4,45x24x4,Plastic,40.27,1,353.96,35.4,1.84,53.45,54.87,Molded Pulp,218.28
PROD-0088,Camera Model 895,Camera,2425.09,2,27x6x17,Aluminum,23.76,4,253.1,25.31,3.56,86.13,15.87,Molded Pulp,186.47
PROD-0089,Laptop Model 781,Laptop,453.69,5,14x32x13,Composite,24.28,4,221.15,22.12,1.83,78.86,28.28,Recycled PET,129.48
PROD-0090,Headphones Model 673,Headphones,255.67,2,22x6x15,Aluminum,54.6,4,477.64,47.76,9.05,76.72,30.7,Recycled PET,100.54
PROD-0091,Smartphone Model 745,Smartphone,2685.54,1,48x24x9,Plastic,47.91,1,110.81,11.08,8.69,81.49,21.93,Recycled PET,169.75
PROD-0092,Smartwatch Model 127,Smartwatch,1194.11,5,27x11x14,Aluminum,86.49,1,162.72,16.27,9.74,39.08,79.24,Molded Pulp,160.09
PROD-0093,Smartwatch Model 655,Smartwatch,899.25,4,18x12x19,Plastic,49.37,3,160.82,16.08,7.36,74.08,33.22,Recycled PET,131.02
PROD-0094,Smartwatch Model 897,Smartwatch,2187.85,2,9x27x10,Aluminum,47.97,3,151.61,15.16,6.81,71.72,34.55,Molded Pulp,164.64
PROD-0095,Camera Model 430,Camera,2517.43,1,14x31x4,Plastic,64.43,3,239.58,23.96,9.31,66.11,45.3,Recycled PET,174.56
PROD-0096,Laptop Model 447,Laptop,2594.34,5,5x11x16,Cardboard,92.21,2,494.7,49.47,9.52,26.2,90.23,Bio-Polymer,265.64
PROD-0097,Smartphone Model 330,Smartphone,982.19,2,12x15x3,Composite,76.88,2,445.51,44.55,8.9,46.06,68.82,Molded Pulp,134.08
PROD-0098,Camera Model 324,Camera,2564.03,2,32x38x12,Plastic,38.72,3,170.7,17.07,8.75,96.37,6.17,Molded Pulp,186.01
PROD-0099,Smartphone Model 476,Smartphone,170.76,4,24x32x18,Aluminum,30.54,2,217.21,21.72,7.05,98.1,3.93,Molded Pulp,101.03
PROD-0100,Tablet Model 732,Tablet,196.5,1,46x7x10,Aluminum,38.04,2,338.05,33.8,1.01,54.38,56.64,Bio-Polymer,68.73
PROD-0101,Smartwatch Model 844,Smartwatch,1889.38,3,26x29x3,Composite,72.69,4,18.4,1.84,4.87,30.78,88.71,Bio-Polymer,151.53
PROD-0102,Tablet Model 458,Tablet,236.16,2,27x21x13,Cardboard,46.28,4,411.88,41.19,6.72,77.82,32.33,Molded Pulp,92.14
PROD-0103,Camera Model 555,Camera,1007.6,5,31x24x10,Cardboard,38.56,1,441.1,44.11,5.92,79.87,24.78,Recycled PET,180.15
PROD-0104,Tablet Model 748,Tablet,2034.63,4,27x32x19,Cardboard,78.45,4,430.03,43.0,8.39,40.28,74.82,Molded Pulp,214.4
PROD-0105,Camera Model 776,Camera,1044.94,4,33x36x13,Plastic,69.61,3,193.78,19.38,8.37,53.68,60.21,Molded Pulp,140.98
PROD-0106,Smartphone Model 918,Smartphone,579.82,2,34x15x6,Composite,59.45,4,236.38,23.64,6.39,54.27,56.5,Bio-Polymer,93.93
PROD-0107,Laptop Model 783,Laptop,879.98,2,24x15x17,Plastic,13.75,2,16.07,1.61,1.2,87.47,14.93,Bio-Polymer,84.27
PROD-0108,Tablet Model 473,Tablet,1399.85,2,42x20x4,Plastic,27.85,2,205.7,20.57,4.32,83.6,17.6,Recycled PET,132.28
PROD-0109,Smartphone Model 791,Smartphone,1452.39,3,5x29x18,Plastic,29.14,3,235.61,23.56,3.06,74.01,28.18,Recycled PET,152.82
PROD-0110,Smartphone Model 929,Smartphone,2359.85,2,31x36x7,Plastic,28.61,3,454.42,45.44,4.05,81.18,20.68,Molded Pulp,203.21
PROD-0111,Smartphone Model 541,Smartphone,2262.95,1,45x27x12,Aluminum,84.51,4,448.05,44.81,6.56,24.01,97.14,Molded Pulp,184.74
PROD-0112,Smartwatch Model 367,Smartwatch,1397.61,5,30x27x4,Aluminum,7.51,4,483.39,48.34,1.6,96.46,1.86,Recycled PET,202.33
PROD-0113,Camera Model 906,Camera,2544.72,2,10x11x13,Aluminum,42.36,4,443.7,44.37,1.2,50.89,62.61,Molded Pulp,212.6
PROD-0114,Laptop Model 486,Laptop,387.0,3,43x26x17,Plastic,50.78,1,14.02,1.4,4.93,61.56,51.76,Molded Pulp,75.77
PROD-0115,Smartphone Model 712,Smartphone,803.29,5,46x37x9,Cardboard,51.96,1,324.32,32.43,8.14,74.46,32.33,Recycled PET,155.79
PROD-0116,Smartphone Model 180,Smartphone,2492.53,4,7x34x17,Aluminum,58.36,3,43.44,4.34,1.28,27.23,88.76,Recycled PET,198.34
PROD-0117,Tablet Model 212,Tablet,1165.08,2,28x7x3,Composite,74.78,4,143.57,14.36,8.64,46.12,67.02,Recycled PET,112.44
PROD-0118,Laptop Model 741,Laptop,2944.49,5,48x23x19,Aluminum,77.72,2,293.37,29.34,4.45,20.89,99.84,Bio-Polymer,262.34
PROD-0119,Smartwatch Model 665,Smartwatch,1425.45,4,24x35x19,Plastic,18.38,1,353.3,35.33,2.06,87.28,16.87,Recycled PET,176.13
PROD-0120,Headphones Model 835,Headphones,2386.21,3,45x35x6,Plastic,29.7,3,330.77,33.08,6.11,93.2,8.79,Bio-Polymer,207.11
PROD-0121,Smartphone Model 484,Smartphone,1236.81,1,47x33x5,Plastic,46.65,1,34.04,3.4,9.57,90.11,13.94,Recycled PET,90.79
PROD-0122,Tablet Model 737,Tablet,1303.61,2,14x39x17,Aluminum,39.69,4,60.77,6.08,5.88,80.46,26.93,Recycled PET,111.75
PROD-0123,Laptop Model 152,Laptop,1179.51,1,25x5x11,Cardboard,53.73,2,73.01,7.3,7.18,65.7,41.68,Bio-Polymer,91.18
PROD-0124,Smartwatch Model 829,Smartwatch,2171.27,3,16x28x3,Plastic,85.15,2,54.79,5.48,8.35,33.8,86.26,Bio-Polymer,168.74
PROD-0125,Camera Model 515,Camera,1665.18,5,24x20x3,Composite,49.79,3,97.33,9.73,8.19,77.97,28.36,Molded Pulp,178.93
PROD-0126,Smartwatch Model 538,Smartwatch,2834.15,5,17x22x12,Plastic,61.55,1,347.36,34.74,1.66,22.33,91.52,Molded Pulp,261.13
PROD-0127,Tablet Model 283,Tablet,790.13,3,18x34x4,Cardboard,58.45,4,417.11,41.71,7.67,62.59,46.29,Molded Pulp,135.03
PROD-0128,Tablet Model 500,Tablet,346.66,3,13x16x19,Cardboard,77.0,4,210.32,21.03,9.55,47.89,64.71,Bio-Polymer,92.97
PROD-0129,Camera Model 379,Camera,1210.12,2,15x31x10,Cardboard,45.09,2,349.46,34.95,7.31,81.01,26.44,Recycled PET,136.0
PROD-0130,Headphones Model 983,Headphones,1869.3,4,47x38x14,Plastic,43.47,2,108.01,10.8,8.53,86.36,15.6,Bio-Polymer,174.12
PROD-0131,Laptop Model 297,Laptop,2589.36,1,12x9x8,Composite,73.65,4,486.91,48.69,5.37,30.74,86.95,Recycled PET,202.66
PROD-0132,Camera Model 610,Camera,1071.28,1,48x16x10,Composite,22.06,4,181.5,18.15,3.87,88.4,10.95,Recycled PET,95.46
PROD-0133,Smartphone Model 300,Smartphone,1978.67,5,8x23x2,Plastic,74.79,1,424.47,42.45,7.09,36.42,77.4,Recycled PET,226.24
PROD-0134,Smartwatch Model 286,Smartwatch,1083.09,5,47x17x19,Aluminum,56.58,3,473.23,47.32,5.43,55.12,58.1,Molded Pulp,186.71
PROD-0135,Camera Model 563,Camera,1870.8,2,46x29x13,Aluminum,87.9,1,433.71,43.37,9.06,28.67,86.11,Bio-Polymer,175.9
PROD-0136,Headphones Model 870,Headphones,2660.18,3,49x38x4,Composite,82.15,1,42.86,4.29,9.77,44.51,71.78,Bio-Polymer,192.11
PROD-0137,Smartwatch Model 863,Smartwatch,732.51,1,21x30x13,Aluminum,50.41,4,328.65,32.87,8.38,79.75,28.17,Molded Pulp,93.4
PROD-0138,Tablet Model 502,Tablet,1242.51,2,20x24x11,Aluminum,74.2,1,68.84,6.88,9.93,56.53,57.44,Recycled PET,108.88
PROD-0139,Laptop Model 610,Laptop,2980.13,5,27x34x9,Composite,17.33,1,12.77,1.28,4.14,102.04,1.31,Molded Pulp,237.01
PROD-0140,Tablet Model 247,Tablet,2612.24,5,9x16x11,Aluminum,64.76,1,35.37,3.54,9.06,63.53,47.52,Recycled PET,219.32
PROD-0141,Smartwatch Model 588,Smartwatch,1715.69,1,18x16x14,Aluminum,21.04,2,458.91,45.89,3.97,93.97,8.6,Molded Pulp,155.09
PROD-0142,Smartphone Model 739,Smartphone,1574.05,5,21x5x11,Plastic,33.99,3,455.15,45.51,2.06,66.92,42.89,Bio-Polymer,209.55
PROD-0143,Laptop Model 971,Laptop,889.57,5,41x15x11,Aluminum,32.95,3,120.65,12.07,6.59,91.37,10.96,Molded Pulp,142.86
PROD-0144,Smartphone Model 878,Smartphone,1575.77,4,10x19x10,Composite,77.71,2,278.06,27.81,5.09,22.81,95.55,Bio-Polymer,175.21
PROD-0145,Smartwatch Model 572,Smartwatch,2552.14,3,44x27x7,Plastic,68.57,4,477.96,47.8,9.3,59.69,52.31,Recycled PET,229.36
PROD-0146,Laptop Model 250,Laptop,2071.26,5,42x16x8,Composite,76.51,4,253.39,25.34,5.43,27.84,91.32,Molded Pulp,214.16
PROD-0147,Camera Model 397,Camera,905.63,4,41x20x7,Plastic,38.74,3,202.85,20.29,9.35,99.97,2.24,Molded Pulp,135.48
PROD-0148,Tablet Model 362,Tablet,644.32,2,44x39x9,Composite,45.09,3,246.79,24.68,1.71,48.57,63.77,Molded Pulp,98.11
PROD-0149,Smartwatch Model 243,Smartwatch,832.37,5,33x21x15,Cardboard,52.32,4,397.21,39.72,8.47,75.2,30.7,Molded Pulp,166.16
PROD-0150,Laptop Model 723,Laptop,550.79,2,29x23x8,Plastic,57.24,1,243.87,24.39,7.83,65.88,43.18,Bio-Polymer,92.75
PROD-0151,Smartphone Model 671,Smartphone,332.14,5,45x16x16,Plastic,82.3,3,393.81,39.38,7.48,29.9,87.31,Bio-Polymer,142.52
PROD-0152,Smartphone Model 101,Smartphone,1286.45,1,19x32x17,Plastic,75.59,1,221.53,22.15,4.2,27.28,98.0,Molded Pulp,110.61
PROD-0153,Smartphone Model 403,Smartphone,384.23,4,27x30x16,Composite,47.0,3,133.48,13.35,8.05,84.15,24.65,Bio-Polymer,103.31
PROD-0154,Camera Model 751,Camera,557.14,4,41x16x5,Cardboard,78.29,2,169.97,17.0,5.35,24.15,94.83,Molded Pulp,114.45
PROD-0155,Headphones Model 136,Headphones,1664.61,1,39x35x2,Plastic,71.07,3,48.13,4.81,7.44,44.64,68.87,Bio-Polymer,110.83
PROD-0156,Tablet Model 108,Tablet,535.57,3,17x6x7,Cardboard,80.97,2,253.72,25.37,5.97,24.78,95.14,Bio-Polymer,107.63
PROD-0157,Smartphone Model 198,Smartphone,238.45,4,41x9x19,Aluminum,43.41,1,82.57,8.26,2.42,54.15,56.24,Bio-Polymer,90.78
PROD-0158,Tablet Model 915,Tablet,986.3,2,21x6x18,Plastic,63.97,4,407.66,40.77,1.58,22.25,96.08,Molded Pulp,128.53
PROD-0159,Tablet Model 503,Tablet,699.94,4,46x39x15,Aluminum,70.73,1,216.09,21.61,4.3,28.69,89.25,Molded Pulp,126.15
PROD-0160,Camera Model 219,Camera,1570.15,3,16x37x8,Plastic,45.3,1,384.85,38.49,9.4,88.97,12.86,Bio-Polymer,171.37
PROD-0161,Smartphone Model 727,Smartphone,351.98,2,43x13x6,Cardboard,41.72,1,477.69,47.77,5.77,75.5,31.08,Recycled PET,106.18
PROD-0162,Tablet Model 724,Tablet,2267.72,2,8x36x6,Aluminum,47.46,2,426.24,42.62,8.22,81.3,24.31,Bio-Polymer,194.46
PROD-0163,Smartwatch Model 521,Smartwatch,2723.39,1,48x12x14,Composite,59.06,3,476.22,47.62,6.18,47.87,57.21,Molded Pulp,208.9
PROD-0164,Smartwatch Model 353,Smartwatch,2243.13,5,8x15x16,Plastic,86.65,4,288.29,28.83,9.62,31.92,80.28,Recycled PET,223.65
PROD-0165,Tablet Model 211,Tablet,1621.84,1,22x24x2,Plastic,62.87,1,91.01,9.1,4.33,37.55,75.94,Molded Pulp,115.57
PROD-0166,Camera Model 572,Camera,2588.97,5,5x15x7,Cardboard,49.66,1,468.34,46.83,1.51,42.42,72.67,Recycled PET,261.41
PROD-0167,Tablet Model 252,Tablet,2100.01,1,9x14x7,Composite,54.62,1,435.57,43.56,8.03,68.44,37.53,Recycled PET,173.05
PROD-0168,Headphones Model 995,Headphones,81.13,5,8x8x8,Plastic,37.77,2,433.56,43.36,7.35,93.45,13.96,Molded Pulp,133.84
PROD-0169,Camera Model 437,Camera,1212.57,4,37x13x16,Aluminum,35.63,2,349.7,34.97,5.75,84.94,21.06,Bio-Polymer,162.98
PROD-0170,Laptop Model 921,Laptop,2560.31,2,45x25x2,Composite,60.25,2,316.21,31.62,3.94,44.58,74.17,Molded Pulp,199.62
PROD-0171,Tablet Model 819,Tablet,1070.28,5,37x9x10,Composite,19.63,3,17.21,1.72,2.69,90.0,14.75,Molded Pulp,141.43
PROD-0172,Headphones Model 780,Headphones,153.88,4,5x20x4,Cardboard,34.74,3,376.55,37.65,5.34,79.0,22.29,Bio-Polymer,115.48
PROD-0173,Smartwatch Model 260,Smartwatch,2251.23,3,40x36x8,Aluminum,53.46,1,54.85,5.49,7.0,63.7,42.46,Bio-Polymer,174.41
PROD-0174,Smartwatch Model 900,Smartwatch,2416.01,1,27x19x6,Aluminum,29.17,4,137.28,13.73,6.21,93.21,7.21,Recycled PET,159.08
PROD-0175,Camera Model 376,Camera,523.75,3,29x6x13,Plastic,32.51,2,280.23,28.02,4.94,80.59,21.27,Recycled PET,109.04
PROD-0176,Smartwatch Model 603,Smartwatch,1635.15,4,23x36x6,Plastic,32.42,3,231.35,23.13,5.86,90.18,14.98,Bio-Polymer,176.13
