material_type,strength,weight_capacity,biodegradability_score,recyclability_percent,co2_emission_score,product_category,typical_weight,fragility_level,shape,material,recycling,weight,co2_impact_index,cost,cost_efficiency_index,material_suitability_score,final_sustainability_index
Palm Leaf Material,46,16,72,68,19.3,Baby Products,2.65,High,can,metal,recycle,26.96,0.04926108374384236,36.2,0.026881720430107524,37,37.07614280417395
Areca Leaf Sheath,41,5,33,47,15.06,Toys,0.98,Medium,pouch,paper,compost,19.49,0.062266500622665,36.34,0.026780931976432776,26.799999999999997,26.889047432599096
Palm Leaf Material,48,23,93,53,8.44,Clothing,0.34,Low,bottle,metal,reuse,10.55,0.10593220338983052,39.59,0.024636610002463658,36.7,36.8305688133923
Mushroom Packaging,47,7,95,45,27.13,Stationery,2.68,High,can,glass,compost,16.93,0.03554923569143264,33.89,0.028661507595299514,40,40.064210743286736
Wheat Straw Fiber,76,20,45,84,27.3,Food,0.39,Low,box,plastic,reuse,17.26,0.0353356890459364,42.22,0.02313743637204998,42.6,42.65847312541799
Palm Leaf Material,94,8,98,61,6.39,Stationery,2.62,Low,pouch,glass,compost,20.44,0.13531799729364005,48.39,0.02024701356549909,57.6,57.755565010859144
Paper Pulp Mold,40,15,88,73,20.45,Clothing,1.55,Low,bottle,glass,reuse,19.3,0.046620046620046623,32.93,0.029472443265546714,39.7,39.7760924898856
Recycled PET Blend,82,12,64,89,17.87,Beverages,2.25,Low,can,glass,reuse,9,0.05299417064122946,38,0.02564102564102564,51.6,51.67863519628226
Wheat Straw Fiber,90,22,64,73,5.09,Home Decor,1.29,Medium,pouch,paper,recycle,15.38,0.16420361247947454,50.45,0.019436345966958212,47.8,47.98363995844643
Palm Leaf Material,65,15,41,74,28.37,Baby Products,2.76,High,can,paper,compost,14.46,0.034048348655090224,40.33,0.024195499637067505,38,38.05824384829216
Jute Fiber,69,9,82,56,17.74,Clothing,2.23,Low,pouch,metal,recycle,24.49,0.05336179295624333,43.68,0.022381378692927483,45.6,45.675743171649174
Jute Fiber,78,13,33,97,32.22,Beverages,1.98,Medium,pouch,paper,recycle,18.57,0.030102347983142687,36.62,0.026581605528973953,45.50000000000001,45.55668395351213
Recycled Paper,81,4,58,84,13.87,Home Decor,2.38,Low,pouch,metal,compost,10.01,0.06724949562878278,34.9,0.02785515320334262,51.5,51.59510464883212
Paper Pulp Mold,46,17,68,82,23.45,Healthcare,0.75,Medium,can,paper,recycle,15.66,0.0408997955010225,32.07,0.03023888720895071,38.699999999999996,38.77113868270997
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,can,metal,recycle,25.87,0.04251700680272109,35.76,0.02720348204570185,43.1,43.16972048884842
Areca Leaf Sheath,53,9,86,83,32.11,Healthcare,1.92,Medium,pouch,plastic,recycle,17,0.030202355783751134,32.9,0.029498525073746312,46.99999999999999,47.05970088085749
Bamboo Fiber,64,4,69,81,34.12,Beverages,2.51,Medium,box,metal,compost,16.6,0.028473804100227793,34.2,0.028409090909090908,48,48.05688289500932
Recycled HDPE,52,27,46,96,6.73,Toys,2.45,Low,box,plastic,recycle,19.15,0.129366106080207,35.59,0.027329871549603715,35.9,36.05669597762981
Biodegradable Foam,66,22,62,78,20.3,Electronics,1.96,High,box,metal,recycle,21.13,0.046948356807511735,41.53,0.02351281448389372,41.2,41.27046117129141
Sugarcane Bagasse,69,26,78,54,31.19,Baby Products,1.07,Medium,bottle,paper,recycle,19.29,0.03106554830692762,46.77,0.02093364036005861,39.3,39.35199918866698
Wheat Straw Fiber,59,12,54,99,22.02,Electronics,2.56,High,box,paper,compost,25.12,0.043440486533449174,29.84,0.0324254215304799,44.699999999999996,44.77586590806393
Mushroom Packaging,45,27,49,55,21.66,Baby Products,1.51,Low,can,plastic,reuse,19.29,0.0441306266548985,42.14,0.023180343069077423,26.199999999999996,26.267310969723972
Eco-Foam Starch,50,19,74,42,13.29,Toys,2.08,Medium,box,glass,reuse,23.37,0.06997900629811057,40.02,0.024378352023403216,32.5,32.59435735832152
Eco-Foam Starch,51,4,100,97,33.31,Industrial Parts,1.26,High,can,glass,reuse,20.98,0.029146021568055958,25.75,0.037383177570093455,53.5,53.566529199138145
Algae Bioplastic,95,24,85,62,16.33,Food,1.07,High,bottle,metal,reuse,13.53,0.05770340450086556,55.95,0.01755926251097454,50.7,50.77526266701184
Recycled PET Blend,62,22,69,81,5.44,Baby Products,2.32,Medium,can,paper,recycle,28.93,0.15527950310559005,44.6,0.021929824561403508,41.99999999999999,42.177209327666986
Coconut Coir,45,19,73,69,10.01,Baby Products,1.93,Low,can,glass,compost,25.78,0.09082652134423251,35.72,0.027233115468409588,36.2,36.31805963681265
Recycled Cardboard,42,26,61,100,27.25,Food,1.38,Low,can,paper,recycle,17.17,0.035398230088495575,34.1,0.02849002849002849,37,37.06388825857852
Wheat Straw Fiber,86,10,100,90,22.08,Stationery,2.49,High,box,paper,compost,19.44,0.043327556325823226,39.78,0.024521824423737126,60.8,60.867849380749554
Recycled HDPE,41,19,42,62,19.8,Stationery,2.54,High,pouch,paper,recycle,23.08,0.04807692307692307,30.62,0.031625553447185324,27.400000000000002,27.47970247652411
Palm Leaf Material,71,10,58,89,22.8,Beverages,1.45,Low,can,metal,reuse,20.9,0.04201680672268907,35.7,0.02724795640326975,47.7,47.76926476312597
Mushroom Packaging,47,7,95,45,27.13,Stationery,2.68,High,box,plastic,reuse,20.54,0.03554923569143264,36.49,0.026673779674579887,40,40.062223015366015
Palm Leaf Material,62,18,75,78,32.22,Healthcare,0.67,High,box,metal,compost,22.53,0.030102347983142687,47.61,0.020571898786257974,43.8,43.8506742467694
Palm Leaf Material,69,29,32,68,18.35,Fragile Goods,1,High,box,glass,recycle,21.77,0.05167958656330749,47.86,0.020466639377814164,32,32.072146225941125
Hemp Fiber,52,30,57,84,27.23,Healthcare,2.54,High,pouch,plastic,reuse,21.79,0.035423308537017355,42.43,0.023025558369790467,34.8,34.858448866906805
Biodegradable Foam,74,18,60,93,34.76,Food,1.91,Low,pouch,glass,compost,20.46,0.027964205816554812,40.97,0.02382654276864427,47.400000000000006,47.4517907485852
Mushroom Packaging,47,7,95,45,27.13,Stationery,2.68,High,pouch,plastic,recycle,23.19,0.03554923569143264,32.81,0.029577048210588583,40,40.065126283902025
Coconut Coir,79,22,91,79,14.19,Food,0.54,High,pouch,plastic,compost,21.05,0.06583278472679395,48.75,0.020100502512562814,51.1,51.18593328723936
Jute Fiber,81,11,69,55,23.06,Toys,0.72,Medium,bottle,metal,recycle,21.17,0.04156275976724855,48.36,0.02025931928687196,45.800000000000004,45.86182207905412
Cornstarch Polymer,67,15,42,62,30.34,Stationery,1.72,High,pouch,paper,recycle,26.87,0.03190810465858328,45.61,0.021454623471358077,36.4,36.45336272812994
Recycled PET Blend,87,5,48,94,33.29,Home Decor,2.31,Low,pouch,paper,recycle,22.17,0.029163021289005542,35.4,0.027472527472527472,53,53.056635548761534
Cornstarch Polymer,61,13,50,68,20.86,Healthcare,0.21,High,pouch,plastic,compost,21.65,0.04574565416285453,42.49,0.022993791676247412,38.00000000000001,38.068739445839114
Wheat Straw Fiber,58,10,50,42,11.75,Healthcare,0.42,High,can,metal,compost,15.56,0.0784313725490196,35.97,0.02704895861509332,32.8,32.90548033116411
Coconut Coir,76,28,50,59,31.35,Fragile Goods,0.4,Medium,can,glass,recycle,15.81,0.030911901081916538,54.9,0.017889087656529516,36.199999999999996,36.24880098873844
Bamboo Fiber,83,12,80,67,20.41,Electronics,2.89,Medium,pouch,glass,reuse,25.71,0.046707146193367584,51.11,0.019190174630589137,50.699999999999996,50.76589732082395
Recycled PET Blend,74,11,31,100,34.83,Beverages,2.22,Medium,bottle,paper,recycle,22.85,0.027909572983533353,33.21,0.029231218941829874,45.1,45.157140791925364
Algae Bioplastic,71,21,93,48,17.89,Stationery,2.92,Low,can,paper,compost,24.59,0.05293806246691371,47.29,0.02070822116380203,43.20000000000001,43.273646283630725
Paper Pulp Mold,94,4,56,71,27.17,Clothing,1.3,Medium,box,glass,recycle,20.99,0.03549875754348598,44.02,0.02221235006663705,52.4,52.45771110761012
Bamboo Fiber,90,23,89,81,29.32,Stationery,2.42,High,can,glass,compost,21.99,0.032981530343007916,48.72,0.02011263073209976,54.1,54.15309416107511
Paper Pulp Mold,55,5,45,78,30.91,Cosmetics,0.5,Medium,box,metal,recycle,19.27,0.031338138514572234,26.84,0.035919540229885055,39.6,39.667257678744456
Palm Leaf Material,59,26,81,67,30.86,Stationery,1.98,Medium,can,glass,recycle,19.87,0.031387319522912745,45.59,0.0214638334406525,39.5,39.55285115296357
Jute Fiber,78,13,33,97,32.22,Beverages,1.98,Medium,pouch,metal,reuse,17.92,0.030102347983142687,35.54,0.02736726874657909,45.50000000000001,45.55746961672973
Recycled PET Blend,90,30,79,64,18.06,Clothing,0.59,Low,can,paper,reuse,26.67,0.05246589716684156,57.43,0.017114495978093447,46.599999999999994,46.669580393144926
Paper Pulp Mold,94,4,56,71,27.17,Clothing,1.3,Medium,pouch,glass,compost,16.44,0.03549875754348598,40.96,0.023832221163012392,52.4,52.4593309787065
Palm Leaf Material,94,8,98,61,6.39,Stationery,2.62,Low,pouch,paper,recycle,21.54,0.13531799729364005,50.29,0.019496977968414896,57.6,57.75481497526206
Recycled PET Blend,75,18,94,94,23.84,Food,2.62,Low,can,plastic,compost,19.22,0.040257648953301126,37.73,0.025819777949909632,54.699999999999996,54.76607742690321
Recycled Paper,57,28,34,44,28.53,Industrial Parts,0.29,Medium,box,plastic,recycle,24.76,0.033863867253640365,49.19,0.019924287706714484,24.300000000000004,24.35378815496036
Eco-Foam Starch,79,19,93,99,28.61,Toys,0.36,High,box,plastic,recycle,21.14,0.033772374197906116,43.7,0.022371364653243846,56.39999999999999,56.45614373885115
Algae Bioplastic,63,27,75,84,17.29,Fragile Goods,2.91,Medium,can,glass,recycle,22.31,0.05467468562055768,38.64,0.025227043390514632,42.6,42.67990172901107
Mushroom Packaging,47,7,95,45,27.13,Stationery,2.68,High,pouch,paper,reuse,21.04,0.03554923569143264,37,0.02631578947368421,40,40.06186502516512
Paper Pulp Mold,57,8,45,95,17.09,Home Decor,0.14,Medium,box,glass,compost,15.04,0.055279159756771695,32.73,0.029647198339756896,42.699999999999996,42.78492635809653
Mushroom Packaging,42,9,68,85,5.46,Fragile Goods,1.45,Low,bottle,paper,recycle,22.75,0.15479876160990713,20.82,0.045829514207149404,40.5,40.70062827581706
Recycled PET Blend,62,22,69,81,5.44,Baby Products,2.32,Medium,pouch,metal,recycle,19.5,0.15527950310559005,39.5,0.024691358024691357,41.99999999999999,42.17997086113027
Paper Pulp Mold,76,24,65,73,31.69,Electronics,0.7,Medium,can,glass,compost,16.19,0.03059039461609055,49.15,0.019940179461615155,43.2,43.25053057407771
Hemp Fiber,75,17,59,88,18.54,Clothing,1.84,Low,pouch,plastic,compost,12.95,0.0511770726714432,42.6,0.02293577981651376,46.8,46.874112852487954
Recycled HDPE,67,14,66,64,34.49,Cosmetics,1.31,Low,bottle,metal,recycle,15.91,0.02817695125387433,39.04,0.024975024975024976,41.89999999999999,41.953151976228895
Paper Pulp Mold,84,19,96,100,13.19,Cosmetics,2.44,High,bottle,paper,reuse,23.82,0.07047216349541931,37.06,0.02627430373095113,58.7,58.79674646722637
Bamboo Fiber,94,29,97,44,32.82,Electronics,0.77,High,box,glass,reuse,28.81,0.02956830277942046,63.75,0.015444015444015444,47.7,47.74501231822344
Wheat Straw Fiber,76,21,62,48,6.69,Electronics,0.66,Medium,bottle,paper,recycle,20.59,0.13003901170351104,50.26,0.019508388607101055,38.50000000000001,38.64954740031062
Eco-Foam Starch,57,21,71,83,26.42,Electronics,1.68,Medium,pouch,paper,reuse,15.02,0.03646973012399708,39.39,0.02475860361475613,41.6,41.661228333738755
Mushroom Packaging,42,9,68,85,5.46,Fragile Goods,1.45,Low,box,glass,compost,22.08,0.15479876160990713,26.69,0.03611412062116287,40.5,40.690912882231075
Sugarcane Bagasse,58,7,97,94,15.87,Home Decor,2.73,Medium,bottle,glass,reuse,25.39,0.05927682276229995,26.65,0.03616636528028933,53.49999999999999,53.59544318804258
Areca Leaf Sheath,53,9,86,83,32.11,Healthcare,1.92,Medium,box,paper,compost,29.61,0.030202355783751134,32.71,0.029664787896766538,46.99999999999999,47.059867143680506
Biodegradable Foam,69,9,79,44,13.62,Home Decor,1.16,Medium,box,paper,compost,26.32,0.06839945280437756,43.64,0.022401433691756272,42.599999999999994,42.69080088649613
Coconut Coir,76,28,50,59,31.35,Fragile Goods,0.4,Medium,can,metal,compost,21.12,0.030911901081916538,50.99,0.019234468166955183,36.199999999999996,36.25014636924887
Hemp Fiber,52,30,57,84,27.23,Healthcare,2.54,High,box,plastic,compost,22.88,0.035423308537017355,47.12,0.020781379883624274,34.8,34.85620468842064
Recycled HDPE,67,14,66,64,34.49,Cosmetics,1.31,Low,box,paper,reuse,16.39,0.02817695125387433,44.17,0.022138587558113793,41.89999999999999,41.95031553881198
Cornstarch Polymer,68,9,97,88,23.12,Healthcare,0.37,High,bottle,plastic,compost,23.98,0.04145936981757877,31.04,0.031210986267166042,54.699999999999996,54.772670356084745
Bamboo Fiber,72,28,38,98,10.59,Stationery,2.72,High,pouch,metal,recycle,24.67,0.08628127696289906,44.03,0.02220741727737064,40.4,40.50848869424027
Palm Leaf Material,69,29,32,68,18.35,Fragile Goods,1,High,pouch,plastic,compost,7.51,0.05167958656330749,45.51,0.021500752526338422,32,32.073180339089646
Wheat Straw Fiber,90,22,64,73,5.09,Home Decor,1.29,Medium,bottle,plastic,recycle,20.71,0.16420361247947454,51.27,0.01913143294432753,47.8,47.9833350454238
Coconut Coir,55,21,67,87,10.65,Baby Products,0.19,High,pouch,metal,compost,27.45,0.08583690987124463,39.14,0.02491280518186348,41,41.11074971505311
Bamboo Fiber,72,28,38,98,10.59,Stationery,2.72,High,box,paper,compost,16.64,0.08628127696289906,39.6,0.02463054187192118,40.4,40.51091181883482
Sugarcane Bagasse,69,26,78,54,31.19,Baby Products,1.07,Medium,can,plastic,reuse,9.37,0.03106554830692762,53.91,0.01821161901293025,39.3,39.349277167319855
